race,driver,pit_lap,tire_age_at_pit,compound_num,race_progress,position_before,laps_remaining,position_delta,optimal_pit
Bahrain2022,VER,15.0,17.0,0,0.263,2,42.0,0,1
Bahrain2022,VER,31.0,16.0,0,0.544,2,26.0,0,1
Bahrain2022,VER,44.0,13.0,1,0.772,2,13.0,0,1
Bahrain2022,GAS,15.0,17.0,0,0.263,7,42.0,-1,0
Bahrain2022,GAS,33.0,18.0,1,0.579,8,24.0,0,1
Bahrain2022,PER,16.0,18.0,0,0.281,2,41.0,-2,0
Bahrain2022,PER,34.0,18.0,1,0.596,2,23.0,-2,0
Bahrain2022,PER,44.0,13.0,0,0.772,4,13.0,0,1
Bahrain2022,ALO,12.0,14.0,0,0.211,11,45.0,2,1
Bahrain2022,ALO,26.0,14.0,1,0.456,10,31.0,-1,0
Bahrain2022,ALO,43.0,17.0,2,0.754,12,14.0,0,1
Bahrain2022,LEC,16.0,15.0,0,0.281,1,41.0,0,1
Bahrain2022,LEC,32.0,19.0,0,0.561,1,25.0,0,1
Bahrain2022,LEC,47.0,15.0,1,0.825,1,10.0,0,1
Bahrain2022,STR,19.0,18.0,0,0.333,12,38.0,-4,0
Bahrain2022,STR,39.0,20.0,0,0.684,14,18.0,-1,0
Bahrain2022,STR,46.0,7.0,1,0.807,14,11.0,0,1
Bahrain2022,MAG,15.0,14.0,0,0.263,6,42.0,-1,0
Bahrain2022,MAG,35.0,23.0,0,0.614,6,22.0,-1,0
Bahrain2022,MAG,47.0,12.0,1,0.825,7,10.0,0,1
Bahrain2022,TSU,16.0,15.0,0,0.281,7,41.0,-4,0
Bahrain2022,TSU,30.0,14.0,1,0.526,11,27.0,-2,0
Bahrain2022,TSU,45.0,15.0,0,0.789,10,12.0,-1,0
Bahrain2022,ALB,14.0,13.0,0,0.246,14,43.0,-2,0
Bahrain2022,ALB,36.0,22.0,1,0.632,16,21.0,-1,0
Bahrain2022,ALB,47.0,13.0,1,0.825,14,10.0,-1,0
Bahrain2022,ZHO,16.0,15.0,0,0.281,8,41.0,-5,0
Bahrain2022,ZHO,38.0,22.0,1,0.667,9,19.0,-3,0
Bahrain2022,ZHO,46.0,8.0,1,0.807,9,11.0,-4,0
Bahrain2022,HUL,20.0,19.0,0,0.351,17,37.0,-2,0
Bahrain2022,HUL,38.0,18.0,0,0.667,17,19.0,-3,0
Bahrain2022,HUL,45.0,7.0,1,0.789,20,12.0,1,1
Bahrain2022,RIC,18.0,17.0,1,0.316,18,39.0,-1,0
Bahrain2022,RIC,34.0,16.0,0,0.596,17,23.0,-1,0
Bahrain2022,RIC,45.0,11.0,2,0.789,17,12.0,1,1
Bahrain2022,OCO,15.0,14.0,0,0.263,8,42.0,-2,0
Bahrain2022,OCO,31.0,16.0,1,0.544,9,26.0,-3,0
Bahrain2022,OCO,44.0,13.0,2,0.772,9,13.0,0,1
Bahrain2022,NOR,25.0,24.0,1,0.439,17,32.0,-3,0
Bahrain2022,NOR,42.0,17.0,2,0.737,16,15.0,-1,0
Bahrain2022,HAM,12.0,13.0,0,0.211,5,45.0,0,1
Bahrain2022,HAM,28.0,17.0,2,0.491,5,29.0,-1,0
Bahrain2022,HAM,45.0,17.0,1,0.789,4,12.0,-1,0
Bahrain2022,MSC,13.0,12.0,0,0.228,17,44.0,1,1
Bahrain2022,MSC,36.0,23.0,1,0.632,14,21.0,0,1
Bahrain2022,SAI,15.0,17.0,0,0.263,4,42.0,1,1
Bahrain2022,SAI,34.0,19.0,0,0.596,1,23.0,-2,0
Bahrain2022,SAI,45.0,11.0,1,0.789,2,12.0,-1,0
Bahrain2022,LAT,15.0,14.0,0,0.263,18,42.0,1,1
Bahrain2022,LAT,33.0,18.0,0,0.579,20,24.0,1,1
Bahrain2022,LAT,46.0,13.0,1,0.807,17,11.0,-1,0
Bahrain2022,RUS,16.0,18.0,0,0.281,3,41.0,-3,0
Bahrain2022,RUS,34.0,19.0,2,0.596,5,23.0,-1,0
Bahrain2022,RUS,46.0,12.0,1,0.807,5,11.0,-1,0
Bahrain2022,BOT,15.0,17.0,0,0.263,11,42.0,-1,0
Bahrain2022,BOT,37.0,22.0,1,0.649,7,20.0,-4,0
Bahrain2022,BOT,46.0,9.0,1,0.807,8,11.0,0,1
Saudi Arabia2022,VER,17.0,16.0,1,0.34,2,33.0,0,1
Saudi Arabia2022,GAS,16.0,15.0,1,0.32,11,34.0,-3,0
Saudi Arabia2022,PER,16.0,15.0,1,0.32,2,34.0,-2,0
Saudi Arabia2022,ALO,17.0,16.0,1,0.34,6,33.0,-2,0
Saudi Arabia2022,LEC,17.0,16.0,1,0.34,1,33.0,0,1
Saudi Arabia2022,STR,14.0,14.0,1,0.28,15,36.0,-1,0
Saudi Arabia2022,MAG,38.0,39.0,2,0.76,7,12.0,-2,0
Saudi Arabia2022,ALB,14.0,13.0,1,0.28,17,36.0,0,1
Saudi Arabia2022,ZHO,17.0,16.0,1,0.34,12,33.0,-3,0
Saudi Arabia2022,HUL,38.0,38.0,2,0.76,13,12.0,-1,0
Saudi Arabia2022,RIC,9.0,8.0,1,0.18,15,41.0,-1,0
Saudi Arabia2022,OCO,17.0,16.0,1,0.34,9,33.0,-2,0
Saudi Arabia2022,NOR,17.0,16.0,1,0.34,11,33.0,-2,0
Saudi Arabia2022,HAM,41.0,41.0,2,0.82,6,9.0,-4,0
Saudi Arabia2022,SAI,17.0,16.0,1,0.34,3,33.0,0,1
Saudi Arabia2022,RUS,17.0,16.0,1,0.34,5,33.0,0,1
Saudi Arabia2022,BOT,17.0,16.0,1,0.34,7,33.0,-3,0
Australia2022,VER,19.0,18.0,1,0.328,7,39.0,5,1
Australia2022,GAS,22.0,21.0,1,0.379,15,36.0,1,1
Australia2022,PER,21.0,20.0,1,0.362,6,37.0,1,1
Australia2022,ALO,40.0,39.0,2,0.69,12,18.0,0,1
Australia2022,ALO,54.0,14.0,1,0.931,17,4.0,0,1
Australia2022,LEC,23.0,22.0,1,0.397,1,35.0,0,1
Australia2022,STR,4.0,4.0,2,0.069,19,54.0,0,1
Australia2022,STR,5.0,3.0,1,0.086,19,53.0,1,1
Australia2022,STR,24.0,19.0,2,0.414,12,34.0,0,1
Australia2022,MAG,40.0,39.0,2,0.69,16,18.0,1,1
Australia2022,TSU,19.0,18.0,1,0.328,17,39.0,2,1
Australia2022,ZHO,22.0,21.0,1,0.379,16,36.0,-1,0
Australia2022,RIC,22.0,21.0,1,0.379,9,36.0,0,1
Australia2022,OCO,18.0,17.0,1,0.31,17,40.0,6,1
Australia2022,NOR,21.0,20.0,1,0.362,10,37.0,2,1
Australia2022,HAM,23.0,22.0,1,0.397,4,35.0,-2,0
Australia2022,MSC,15.0,16.0,1,0.259,18,43.0,0,1
Australia2022,LAT,14.0,13.0,1,0.241,19,44.0,0,1
Australia2022,LAT,24.0,11.0,2,0.414,18,34.0,0,1
Australia2022,RUS,24.0,23.0,1,0.414,3,34.0,0,1
Australia2022,BOT,23.0,22.0,1,0.397,14,35.0,1,1
Spain2022,VER,14.0,16.0,0,0.212,4,52.0,1,1
Spain2022,VER,29.0,15.0,1,0.439,3,37.0,0,1
Spain2022,VER,45.0,19.0,0,0.682,1,21.0,0,1
Spain2022,PER,18.0,20.0,0,0.273,2,48.0,-2,0
Spain2022,PER,38.0,20.0,1,0.576,1,28.0,-1,0
Spain2022,PER,54.0,16.0,1,0.818,2,12.0,0,1
Spain2022,RUS,14.0,16.0,0,0.212,3,52.0,1,1
Spain2022,RUS,37.0,23.0,1,0.561,3,29.0,0,1
Spain2022,RUS,52.0,15.0,1,0.788,3,14.0,0,1
Spain2022,SAI,11.0,13.0,0,0.167,11,55.0,3,1
Spain2022,SAI,32.0,21.0,1,0.485,5,34.0,0,1
Spain2022,SAI,46.0,14.0,1,0.697,5,20.0,0,1
Spain2022,HAM,23.0,23.0,0,0.348,16,43.0,2,1
Spain2022,HAM,49.0,26.0,1,0.742,5,17.0,-1,0
Spain2022,BOT,15.0,17.0,0,0.227,3,51.0,-2,0
Spain2022,BOT,35.0,20.0,1,0.53,4,31.0,0,1
Spain2022,OCO,14.0,13.0,0,0.212,6,52.0,0,1
Spain2022,OCO,36.0,22.0,1,0.545,6,30.0,-1,0
Spain2022,OCO,53.0,20.0,0,0.803,7,13.0,0,1
Spain2022,NOR,13.0,12.0,0,0.197,7,53.0,-2,0
Spain2022,NOR,34.0,21.0,1,0.515,6,32.0,-2,0
Spain2022,NOR,52.0,21.0,0,0.788,8,14.0,0,1
Spain2022,ALO,11.0,10.0,0,0.167,13,55.0,2,1
Spain2022,ALO,32.0,21.0,1,0.485,9,34.0,-1,0
Spain2022,ALO,54.0,22.0,0,0.818,7,12.0,-2,0
Spain2022,TSU,12.0,11.0,0,0.182,9,54.0,-1,0
Spain2022,TSU,33.0,21.0,1,0.5,8,33.0,-3,0
Spain2022,TSU,53.0,23.0,0,0.803,9,13.0,-1,0
Spain2022,VET,22.0,24.0,0,0.333,10,44.0,-5,0
Spain2022,VET,43.0,24.0,0,0.652,11,23.0,-1,0
Spain2022,RIC,12.0,14.0,0,0.182,10,54.0,-2,0
Spain2022,RIC,32.0,23.0,0,0.485,11,34.0,-2,0
Spain2022,RIC,49.0,17.0,1,0.742,13,17.0,0,1
Spain2022,GAS,11.0,10.0,0,0.167,14,55.0,0,1
Spain2022,GAS,30.0,19.0,1,0.455,14,36.0,0,1
Spain2022,GAS,47.0,20.0,0,0.712,14,19.0,0,1
