Driver,Distance,Speed,LapTimeSec
VER,16.741666666666667,245.0,103.665
VER,27.85277777777778,250.0,103.665
VER,50.608333333333334,256.0,103.665
VER,68.00222222222223,262.0,103.665
VER,79.64666666666668,262.0,103.665
VER,97.44666666666667,267.0,103.665
VER,115.58000000000001,272.0,103.665
VER,133.98000000000002,276.0,103.665
VER,155.7577777777778,280.0,103.665
VER,187.53555555555556,286.0,103.665
VER,206.80222222222224,289.0,103.665
VER,229.35777777777778,290.0,103.665
VER,252.15000000000003,292.0,103.665
VER,271.6722222222222,251.0,103.665
VER,281.5833333333333,223.0,103.665
VER,292.5833333333333,198.0,103.665
VER,301.3833333333333,198.0,103.665
VER,311.2722222222222,178.0,103.665
VER,320.80555555555554,143.0,103.665
VER,329.5388888888889,131.0,103.665
VER,338.40555555555557,114.0,103.665
VER,349.7388888888889,102.0,103.665
VER,354.05,97.0,103.665
VER,358.1388888888889,92.0,103.665
VER,363.08333333333337,89.0,103.665
VER,370.6388888888889,85.0,103.665
VER,379.19444444444446,77.0,103.665
VER,384.4611111111111,79.0,103.665
VER,389.01666666666665,82.0,103.665
VER,394.74999999999994,86.0,103.665
VER,398.72499999999997,90.0,103.665
VER,405.12499999999994,96.0,103.665
VER,417.71388888888885,103.0,103.665
VER,430.6138888888889,129.0,103.665
VER,443.68055555555554,147.0,103.665
VER,458.16944444444437,163.0,103.665
VER,465.8138888888888,172.0,103.665
VER,477.93083333333334,181.0,103.665
VER,490.86416666666656,194.0,103.665
VER,514.0863888888888,209.0,103.665
VER,531.1975,220.0,103.665
VER,551.5530555555555,229.0,103.665
VER,561.8641666666666,232.0,103.665
VER,591.8086111111112,245.0,103.665
VER,608.4752777777778,250.0,103.665
VER,625.6752777777778,258.0,103.665
VER,640.2308333333334,262.0,103.665
VER,654.8975,264.0,103.665
VER,666.7197222222222,266.0,103.665
VER,681.7197222222223,270.0,103.665
VER,709.3197222222223,276.0,103.665
VER,737.4197222222222,281.0,103.665
VER,759.5086111111111,284.0,103.665
VER,781.9086111111111,288.0,103.665
VER,798.0197222222222,290.0,103.665
VER,823.9827777777778,293.0,103.665
VER,840.3716666666666,295.0,103.665
VER,866.8605555555555,298.0,103.665
VER,900.305,301.0,103.665
VER,923.9494444444443,304.0,103.665
VER,961.5938888888887,308.0,103.665
VER,985.7130555555556,309.0,103.665
VER,1002.9352777777777,310.0,103.665
VER,1034.1352777777777,312.0,103.665
VER,1051.3574999999998,310.0,103.665
VER,1085.9130555555555,311.0,103.665
VER,1103.0241666666666,308.0,103.665
VER,1120.1352777777777,308.0,103.665
VER,1153.9130555555553,304.0,103.665
VER,1184.1130555555553,302.0,103.665
VER,1214.3130555555556,302.0,103.665
VER,1237.9574999999998,304.0,103.665
VER,1251.468611111111,304.0,103.665
VER,1275.1908333333333,305.0,103.665
VER,1292.1352777777777,305.0,103.665
VER,1315.9352777777779,306.0,103.665
VER,1343.2241666666669,307.0,103.665
VER,1363.8241666666668,309.0,103.665
VER,1387.8491666666669,310.0,103.665
VER,1408.5158333333336,310.0,103.665
VER,1443.1825000000001,312.0,103.665
VER,1460.571388888889,313.0,103.665
VER,1481.5047222222224,314.0,103.665
VER,1495.460277777778,314.0,103.665
VER,1509.4158333333335,314.0,103.665
VER,1530.5033333333333,315.0,103.665
VER,1558.5922222222223,316.0,103.665
VER,1586.858888888889,318.0,103.665
VER,1608.1255555555554,319.0,103.665
VER,1643.6811111111108,320.0,103.665
VER,1665.1477777777777,322.0,103.665
VER,1679.5033333333333,323.0,103.665
VER,1693.9033333333334,324.0,103.665
VER,1708.3033333333335,324.0,103.665
VER,1737.2811111111114,326.0,103.665
VER,1777.3700000000001,328.0,103.665
VER,1791.947777777778,328.0,103.665
VER,1821.1922222222224,329.0,103.665
VER,1854.2922222222223,331.0,103.665
VER,1891.1811111111115,332.0,103.665
VER,1909.6811111111115,333.0,103.665
VER,1954.2144444444448,334.0,103.665
VER,1980.1769444444449,335.0,103.665
VER,1998.788055555556,335.0,103.665
VER,2021.1880555555558,336.0,103.665
VER,2036.1213888888892,336.0,103.665
VER,2069.8213888888895,337.0,103.665
VER,2092.288055555556,337.0,103.665
VER,2122.3325000000004,338.0,103.665
VER,2141.2600000000007,339.0,103.665
VER,2167.626666666667,339.0,103.665
VER,2205.404444444445,340.0,103.665
VER,2224.2933333333335,340.0,103.665
VER,2239.404444444445,340.0,103.665
VER,2254.515555555556,340.0,103.665
VER,2277.115555555556,339.0,103.665
VER,2296.982222222223,298.0,103.665
VER,2317.7488888888897,267.0,103.665
VER,2337.0377777777785,217.0,103.665
VER,2350.3044444444454,199.0,103.665
VER,2366.7488888888897,185.0,103.665
VER,2383.7488888888897,170.0,103.665
VER,2391.2155555555564,168.0,103.665
VER,2401.94888888889,161.0,103.665
VER,2409.1044444444456,161.0,103.665
VER,2421.237777777779,156.0,103.665
VER,2431.9044444444453,160.0,103.665
VER,2446.4822222222233,164.0,103.665
VER,2455.3711111111124,160.0,103.665
VER,2465.794166666668,157.0,103.665
VER,2476.194166666668,156.0,103.665
VER,2483.1275000000014,156.0,103.665
VER,2497.2608333333346,159.0,103.665
VER,2514.2608333333346,170.0,103.665
VER,2524.094166666668,177.0,103.665
VER,2547.491666666668,191.0,103.665
