Driver,Distance,Speed,LapTimeSec
VER,15.2375,265.0,86.72
VER,33.10416666666667,268.0,86.72
VER,45.14861111111111,271.0,86.72
VER,72.7486111111111,276.0,86.72
VER,91.34861111111111,279.0,86.72
VER,109.9486111111111,279.0,86.72
VER,128.94861111111112,285.0,86.72
VER,164.1486111111111,288.0,86.72
VER,177.11805555555554,290.0,86.72
VER,190.05138888888888,291.0,86.72
VER,206.2736111111111,292.0,86.72
VER,235.7736111111111,295.0,86.72
VER,258.8736111111111,297.0,86.72
VER,278.74027777777775,298.0,86.72
VER,312.07361111111106,300.0,86.72
VER,335.5625,302.0,86.72
VER,362.4069444444444,302.0,86.72
VER,392.5069444444444,301.0,86.72
VER,412.5069444444444,300.0,86.72
VER,442.20694444444445,297.0,86.72
VER,465.3069444444444,297.0,86.72
VER,494.72499999999997,295.0,86.72
VER,507.8361111111111,295.0,86.72
VER,524.225,295.0,86.72
VER,550.4472222222223,295.0,86.72
VER,573.4694444444444,296.0,86.72
VER,593.2027777777778,296.0,86.72
VER,616.1472222222222,295.0,86.72
VER,639.0138888888889,294.0,86.72
VER,661.8027777777778,293.0,86.72
VER,681.4027777777778,294.0,86.72
VER,704.2694444444444,294.0,86.72
VER,730.4844444444444,294.0,86.72
VER,756.7955555555556,296.0,86.72
VER,769.9511111111111,296.0,86.72
VER,798.0511111111113,281.0,86.72
VER,809.2511111111112,252.0,86.72
VER,825.5844444444446,210.0,86.72
VER,834.4733333333335,200.0,86.72
VER,846.0066666666668,173.0,86.72
VER,856.6733333333334,160.0,86.72
VER,867.8733333333333,144.0,86.72
VER,873.8733333333333,135.0,86.72
VER,888.9066666666666,123.0,86.72
VER,895.4622222222222,118.0,86.72
VER,905.5066666666667,113.0,86.72
VER,910.5288888888889,113.0,86.72
VER,920.896388888889,117.0,86.72
VER,926.1852777777779,119.0,86.72
VER,937.9186111111112,132.0,86.72
VER,949.2741666666667,146.0,86.72
VER,959.6075000000001,155.0,86.72
VER,968.7186111111112,164.0,86.72
VER,982.3186111111112,153.0,86.72
VER,996.8741666666667,131.0,86.72
VER,1002.3408333333334,123.0,86.72
VER,1013.6408333333334,113.0,86.72
VER,1018.4708333333334,108.0,86.72
VER,1026.4041666666667,102.0,86.72
VER,1031.848611111111,98.0,86.72
VER,1038.1819444444443,95.0,86.72
VER,1043.4041666666665,94.0,86.72
VER,1050.0041666666666,99.0,86.72
VER,1055.6152777777777,101.0,86.72
VER,1065.3041666666666,109.0,86.72
VER,1071.748611111111,116.0,86.72
VER,1077.0819444444442,120.0,86.72
VER,1089.3486111111108,138.0,86.72
VER,1095.7041666666664,143.0,86.72
VER,1107.9152777777774,157.0,86.72
VER,1115.4263888888886,169.0,86.72
VER,1125.259722222222,177.0,86.72
VER,1133.348611111111,182.0,86.72
VER,1148.4374999999998,194.0,86.72
VER,1159.6041666666663,201.0,86.72
VER,1168.8041666666663,207.0,86.72
VER,1187.678333333333,213.0,86.72
VER,1209.878333333333,222.0,86.72
VER,1220.1005555555553,230.0,86.72
VER,1233.1005555555553,234.0,86.72
VER,1248.8338888888884,236.0,86.72
VER,1259.5449999999996,241.0,86.72
VER,1281.5005555555551,247.0,86.72
VER,1295.4449999999997,251.0,86.72
VER,1324.2227777777773,259.0,86.72
VER,1348.0302777777772,267.0,86.72
VER,1362.9747222222218,269.0,86.72
VER,1387.596944444444,277.0,86.72
VER,1399.9969444444441,279.0,86.72
VER,1415.7191666666663,283.0,86.72
VER,1434.9191666666661,288.0,86.72
VER,1450.9191666666661,288.0,86.72
VER,1487.096944444444,296.0,86.72
VER,1503.6524999999995,298.0,86.72
VER,1533.9524999999994,303.0,86.72
VER,1564.6524999999997,307.0,86.72
VER,1578.385833333333,309.0,86.72
VER,1606.1191666666662,312.0,86.72
VER,1641.1191666666664,315.0,86.72
VER,1665.8524999999997,318.0,86.72
VER,1690.6524999999997,320.0,86.72
VER,1704.9191666666663,321.0,86.72
VER,1730.0413888888884,323.0,86.72
VER,1762.5413888888884,325.0,86.72
VER,1791.608055555555,327.0,86.72
VER,1806.1413888888883,327.0,86.72
VER,1824.3636111111105,328.0,86.72
VER,1845.896944444444,323.0,86.72
VER,1868.1413888888885,286.0,86.72
VER,1882.9191666666663,266.0,86.72
VER,1901.574444444444,239.0,86.72
VER,1916.4411111111108,223.0,86.72
VER,1930.374444444444,209.0,86.72
VER,1947.5299999999995,193.0,86.72
VER,1961.374444444444,178.0,86.72
VER,1969.0188888888883,172.0,86.72
VER,1983.6855555555549,165.0,86.72
VER,1992.685555555555,162.0,86.72
VER,2001.3522222222218,156.0,86.72
VER,2010.185555555555,159.0,86.72
VER,2023.0966666666664,166.0,86.72
VER,2032.4855555555553,169.0,86.72
VER,2048.663333333333,182.0,86.72
VER,2065.7299999999996,192.0,86.72
VER,2077.663333333333,179.0,86.72
VER,2090.7299999999996,168.0,86.72
VER,2105.5299999999997,148.0,86.72
VER,2116.1475,137.0,86.72
VER,2129.0475,129.0,86.72
VER,2144.7808333333332,118.0,86.72
VER,2151.1697222222224,115.0,86.72
VER,2157.5030555555554,114.0,86.72
VER,2165.1030555555553,114.0,86.72
VER,2176.803055555555,117.0,86.72
VER,2186.169722222222,120.0,86.72
VER,2195.8141666666666,124.0,86.72
VER,2206.236388888889,134.0,86.72
VER,2222.6808333333333,148.0,86.72
VER,2234.8141666666666,156.0,86.72
VER,2243.9808333333335,165.0,86.72
VER,2260.0697222222225,181.0,86.72
VER,2268.2475,184.0,86.72
VER,2278.914166666667,192.0,86.72
VER,2296.8697222222227,202.0,86.72
VER,2316.0697222222225,216.0,86.72
VER,2330.6030555555553,218.0,86.72
VER,2340.736388888889,228.0,86.72
VER,2350.869722222222,228.0,86.72
VER,2366.6697222222224,237.0,86.72
VER,2380.114166666667,242.0,86.72
VER,2390.9586111111116,244.0,86.72
VER,2413.180833333334,250.0,86.72
VER,2433.0208333333335,256.0,86.72
VER,2447.4097222222226,259.0,86.72
VER,2464.943055555556,263.0,86.72
VER,2488.765277777778,268.0,86.72
VER,2515.865277777778,271.0,86.72
VER,2528.0430555555554,274.0,86.72
VER,2552.6652777777776,277.0,86.72
VER,2568.054166666667,277.0,86.72
VER,2586.8655555555556,281.0,86.72
VER,2608.798888888889,282.0,86.72
VER,2630.965555555556,285.0,86.72
VER,2666.165555555556,288.0,86.72
VER,2691.9433333333336,290.0,86.72
VER,2714.654444444445,292.0,86.72
VER,2734.1877777777777,293.0,86.72
VER,2757.0544444444445,294.0,86.72
VER,2780.076666666667,296.0,86.72
VER,2796.5211111111116,296.0,86.72
VER,2816.3211111111113,297.0,86.72
VER,2836.187777777778,298.0,86.72
VER,2856.1211111111115,299.0,86.72
VER,2886.1211111111115,300.0,86.72
VER,2906.187777777778,301.0,86.72
VER,2932.9433333333336,301.0,86.72
VER,2966.415,302.0,86.72
VER,2989.6705555555554,299.0,86.72
VER,3016.0705555555555,297.0,86.72
VER,3029.2261111111115,296.0,86.72
VER,3055.3594444444448,294.0,86.72
VER,3084.5594444444446,292.0,86.72
VER,3097.4483333333333,290.0,86.72
VER,3110.3372222222224,290.0,86.72
VER,3136.106388888889,289.0,86.72
VER,3148.906388888889,288.0,86.72
VER,3164.9063888888886,288.0,86.72
