Driver,Distance,Speed,LapTimeSec
NOR,15.336666666666666,321.0,79.327
NOR,33.22555555555556,322.0,79.327
NOR,62.114444444444445,325.0,79.327
NOR,98.5588888888889,328.0,79.327
NOR,131.5588888888889,330.0,79.327
NOR,164.75888888888892,332.0,79.327
NOR,183.25888888888892,333.0,79.327
NOR,201.8144444444445,334.0,79.327
NOR,216.75166666666672,334.0,79.327
NOR,246.61833333333337,336.0,79.327
NOR,269.08500000000004,337.0,79.327
NOR,299.1294444444445,338.0,79.327
NOR,314.1516666666667,338.0,79.327
NOR,344.2850000000001,339.0,79.327
NOR,374.59611111111116,341.0,79.327
NOR,401.1961111111112,342.0,79.327
NOR,439.1961111111111,342.0,79.327
NOR,473.49611111111113,343.0,79.327
NOR,488.785,344.0,79.327
NOR,519.3627777777779,344.0,79.327
NOR,534.6961111111111,345.0,79.327
NOR,553.8627777777778,345.0,79.327
NOR,573.0294444444444,345.0,79.327
NOR,595.9999999999999,346.0,79.327
NOR,619.0666666666666,346.0,79.327
NOR,638.2888888888889,346.0,79.327
NOR,669.1333333333333,347.0,79.327
NOR,688.4111111111112,347.0,79.327
NOR,715.2444444444445,345.0,79.327
NOR,738.2444444444445,345.0,79.327
NOR,761.1777777777779,344.0,79.327
NOR,789.5333333333335,319.0,79.327
NOR,814.688888888889,283.0,79.327
NOR,834.216388888889,219.0,79.327
NOR,848.216388888889,180.0,79.327
NOR,863.6608333333335,139.0,79.327
NOR,870.4941666666667,123.0,79.327
NOR,881.0941666666668,106.0,79.327
NOR,885.6719444444445,103.0,79.327
NOR,890.0275000000001,98.0,79.327
NOR,895.2497222222224,94.0,79.327
NOR,903.1608333333335,89.0,79.327
NOR,913.305277777778,83.0,79.327
NOR,919.9941666666668,86.0,79.327
NOR,928.0941666666669,81.0,79.327
NOR,934.7608333333335,75.0,79.327
NOR,939.6275000000002,73.0,79.327
NOR,945.3625000000002,74.0,79.327
NOR,950.6291666666668,79.0,79.327
NOR,956.1625000000001,83.0,79.327
NOR,964.1625000000001,90.0,79.327
NOR,974.6625000000001,105.0,79.327
NOR,983.9958333333335,120.0,79.327
NOR,991.1625000000001,129.0,79.327
NOR,998.9958333333334,141.0,79.327
NOR,1012.9513888888889,157.0,79.327
NOR,1026.3769444444445,172.0,79.327
NOR,1036.2102777777777,177.0,79.327
NOR,1055.6102777777778,194.0,79.327
NOR,1066.8325,202.0,79.327
NOR,1076.121388888889,209.0,79.327
NOR,1093.1547222222223,219.0,79.327
NOR,1103.0658333333333,223.0,79.327
NOR,1121.0324999999998,231.0,79.327
NOR,1139.6213888888888,239.0,79.327
NOR,1153.1769444444442,244.0,79.327
NOR,1175.4880555555553,251.0,79.327
NOR,1186.865833333333,256.0,79.327
NOR,1201.3102777777774,260.0,79.327
NOR,1215.976944444444,264.0,79.327
NOR,1249.0991666666662,271.0,79.327
NOR,1270.488055555555,275.0,79.327
NOR,1292.3436111111105,281.0,79.327
NOR,1311.1316666666662,283.0,79.327
NOR,1323.8427777777774,286.0,79.327
NOR,1339.8427777777774,288.0,79.327
NOR,1362.4761111111109,291.0,79.327
NOR,1391.8761111111107,294.0,79.327
NOR,1415.0538888888887,298.0,79.327
NOR,1434.9872222222218,299.0,79.327
NOR,1455.1205555555553,302.0,79.327
NOR,1475.320555555555,303.0,79.327
NOR,1495.587222222222,304.0,79.327
NOR,1516.1391666666664,307.0,79.327
NOR,1533.2502777777775,308.0,79.327
NOR,1557.3613888888888,310.0,79.327
NOR,1571.1391666666666,310.0,79.327
NOR,1584.961388888889,311.0,79.327
NOR,1598.8280555555552,312.0,79.327
NOR,1623.2502777777775,314.0,79.327
NOR,1637.205833333333,314.0,79.327
NOR,1651.1613888888885,314.0,79.327
NOR,1668.6613888888885,315.0,79.327
NOR,1686.216944444444,316.0,79.327
NOR,1714.4836111111106,318.0,79.327
NOR,1735.7502777777775,319.0,79.327
NOR,1757.0836111111107,320.0,79.327
NOR,1778.4836111111108,321.0,79.327
NOR,1799.9502777777773,322.0,79.327
NOR,1825.0724999999995,323.0,79.327
NOR,1861.1836111111106,325.0,79.327
NOR,1879.239166666666,325.0,79.327
NOR,1908.0377777777774,325.0,79.327
NOR,1936.8377777777773,324.0,79.327
NOR,1951.2377777777774,324.0,79.327
NOR,1976.3599999999994,323.0,79.327
NOR,1993.9711111111105,317.0,79.327
NOR,2014.9711111111105,270.0,79.327
NOR,2037.3711111111104,224.0,79.327
NOR,2046.1711111111103,198.0,79.327
NOR,2058.738055555555,161.0,79.327
NOR,2068.4047222222216,145.0,79.327
NOR,2078.515833333333,130.0,79.327
NOR,2086.7824999999993,124.0,79.327
NOR,2095.9602777777773,118.0,79.327
NOR,2103.760277777777,117.0,79.327
NOR,2111.2936111111103,113.0,79.327
NOR,2120.5491666666658,119.0,79.327
NOR,2133.249166666666,127.0,79.327
NOR,2148.026944444444,133.0,79.327
NOR,2160.115833333333,136.0,79.327
NOR,2173.5380555555553,151.0,79.327
NOR,2182.4269444444444,160.0,79.327
NOR,2191.9269444444444,171.0,79.327
NOR,2212.815833333333,188.0,79.327
NOR,2221.304722222222,191.0,79.327
NOR,2234.516111111111,199.0,79.327
NOR,2243.6716666666666,206.0,79.327
NOR,2258.0716666666663,216.0,79.327
NOR,2272.8716666666664,222.0,79.327
NOR,2295.9716666666664,231.0,79.327
NOR,2320.0716666666663,241.0,79.327
NOR,2336.6049999999996,248.0,79.327
NOR,2350.660555555555,253.0,79.327
NOR,2361.9938888888883,255.0,79.327
NOR,2385.1772222222216,260.0,79.327
NOR,2402.710555555555,263.0,79.327
NOR,2423.1661111111107,263.0,79.327
NOR,2442.610555555555,250.0,79.327
NOR,2460.888333333333,235.0,79.327
NOR,2473.610555555555,229.0,79.327
NOR,2495.310555555555,217.0,79.327
NOR,2520.610555555555,207.0,79.327
NOR,2529.943888888888,210.0,79.327
NOR,2544.2772222222216,215.0,79.327
NOR,2571.899444444444,226.0,79.327
NOR,2587.2327777777773,230.0,79.327
NOR,2602.966111111111,236.0,79.327
NOR,2621.7883333333325,242.0,79.327
NOR,2655.521666666666,253.0,79.327
NOR,2684.3383333333327,260.0,79.327
NOR,2707.8938888888883,265.0,79.327
NOR,2719.7605555555547,267.0,79.327
NOR,2737.693888888888,269.0,79.327
NOR,2752.7494444444433,271.0,79.327
NOR,2769.2827777777766,248.0,79.327
NOR,2795.1938888888876,212.0,79.327
NOR,2819.6938888888876,200.0,79.327
NOR,2828.404999999999,196.0,79.327
NOR,2836.849444444443,190.0,79.327
NOR,2851.7827777777766,192.0,79.327
NOR,2862.5605555555544,194.0,79.327
NOR,2885.5605555555544,207.0,79.327
NOR,2899.760555555554,213.0,79.327
NOR,2911.927222222221,219.0,79.327
NOR,2926.993888888888,226.0,79.327
NOR,2942.7272222222214,236.0,79.327
NOR,2956.11611111111,241.0,79.327
NOR,2978.1605555555543,248.0,79.327
NOR,2992.21611111111,253.0,79.327
NOR,3012.3605555555546,259.0,79.327
NOR,3038.8605555555546,265.0,79.327
NOR,3050.860555555554,270.0,79.327
NOR,3066.0827777777768,274.0,79.327
NOR,3087.782777777777,279.0,79.327
NOR,3100.2716666666656,281.0,79.327
NOR,3119.3383333333322,286.0,79.327
NOR,3135.31361111111,289.0,79.327
NOR,3154.71361111111,291.0,79.327
NOR,3174.380277777776,295.0,79.327
NOR,3190.9358333333316,298.0,79.327
NOR,3207.6580555555543,301.0,79.327
NOR,3227.9247222222207,304.0,79.327
NOR,3251.8802777777764,308.0,79.327
NOR,3272.5469444444434,310.0,79.327
NOR,3297.056388888888,314.0,79.327
NOR,3325.1452777777768,316.0,79.327
NOR,3342.756388888888,317.0,79.327
NOR,3360.47861111111,319.0,79.327
NOR,3385.600833333332,323.0,79.327
NOR,3418.100833333332,325.0,79.327
NOR,3454.5452777777764,328.0,79.327
NOR,3480.2119444444434,330.0,79.327
NOR,3498.6008333333325,331.0,79.327
NOR,3520.800833333333,333.0,79.327
NOR,3539.356388888888,334.0,79.327
NOR,3557.9674999999993,335.0,79.327
NOR,3587.834166666666,336.0,79.327
NOR,3606.500833333332,336.0,79.327
NOR,3632.7119444444434,337.0,79.327
NOR,3647.6897222222215,337.0,79.327
NOR,3666.467499999999,338.0,79.327
NOR,3685.2452777777767,338.0,79.327
NOR,3722.7069444444433,338.0,79.327
NOR,3745.1736111111095,337.0,79.327
NOR,3775.0402777777763,336.0,79.327
NOR,3804.906944444443,336.0,79.327
NOR,3827.9291666666654,296.0,79.327
NOR,3847.295833333332,249.0,79.327
NOR,3859.9069444444435,227.0,79.327
NOR,3874.2999999999993,215.0,79.327
NOR,3890.244444444443,205.0,79.327
NOR,3901.4666666666653,202.0,79.327
NOR,3918.71111111111,194.0,79.327
NOR,3931.71111111111,195.0,79.327
NOR,3945.044444444443,200.0,79.327
NOR,3969.155555555554,217.0,79.327
NOR,3981.4888888888872,222.0,79.327
NOR,4001.755555555554,228.0,79.327
NOR,4025.255555555554,235.0,79.327
NOR,4049.455555555554,242.0,79.327
NOR,4068.8999999999983,250.0,79.327
NOR,4085.633333333332,251.0,79.327
NOR,4105.62222222222,257.0,79.327
NOR,4120.011111111109,259.0,79.327
NOR,4140.388888888887,262.0,79.327
NOR,4155.222222222221,267.0,79.327
NOR,4182.522222222221,273.0,79.327
NOR,4194.668055555554,275.0,79.327
NOR,4213.268055555554,279.0,79.327
NOR,4232.068055555554,282.0,79.327
NOR,4267.268055555554,288.0,79.327
NOR,4280.156944444443,290.0,79.327
NOR,4313.0166666666655,295.0,79.327
NOR,4329.5166666666655,297.0,79.327
NOR,4342.805555555555,299.0,79.327
NOR,4359.527777777777,301.0,79.327
NOR,4376.36111111111,303.0,79.327
NOR,4396.694444444444,305.0,79.327
NOR,4413.694444444444,306.0,79.327
NOR,4434.227777777778,308.0,79.327
NOR,4468.672222222222,310.0,79.327
NOR,4482.538888888889,312.0,79.327
NOR,4514.038888888889,315.0,79.327
NOR,4531.594444444445,316.0,79.327
NOR,4549.150000000001,316.0,79.327
NOR,4570.35,318.0,79.327
NOR,4605.794444444446,319.0,79.327
NOR,4623.516666666666,319.0,79.327
NOR,4644.783333333334,319.0,79.327
NOR,4662.6722222222215,322.0,79.327
NOR,4687.794444444444,323.0,79.327
NOR,4705.794444444444,324.0,79.327
NOR,4723.794444444444,324.0,79.327
NOR,4745.5277777777765,326.0,79.327
NOR,4763.493055555554,325.0,79.327
NOR,4788.926388888887,327.0,79.327
NOR,4803.459722222222,327.0,79.327
NOR,4817.993055555555,327.0,79.327
NOR,4843.504166666666,328.0,79.327
NOR,4858.081944444443,328.0,79.327
NOR,4872.7041666666655,329.0,79.327
NOR,4902.039999999999,329.0,79.327
NOR,4920.317777777777,329.0,79.327
NOR,4934.895555555555,328.0,79.327
NOR,4956.762222222223,328.0,79.327
NOR,4992.984444444444,326.0,79.327
NOR,5020.2733333333335,307.0,79.327
NOR,5032.851111111111,283.0,79.327
NOR,5051.117777777778,274.0,79.327
NOR,5065.062222222222,251.0,79.327
NOR,5083.651111111111,239.0,79.327
NOR,5101.54,230.0,79.327
NOR,5111.6288888888885,227.0,79.327
NOR,5126.362222222222,221.0,79.327
NOR,5150.251111111111,215.0,79.327
NOR,5162.306666666666,217.0,79.327
NOR,5177.04,221.0,79.327
NOR,5197.217777777777,227.0,79.327
NOR,5207.528888888888,232.0,79.327
NOR,5220.639999999999,236.0,79.327
NOR,5231.173333333332,237.0,79.327
NOR,5247.373333333333,243.0,79.327
NOR,5258.262222222222,245.0,79.327
NOR,5283.292499999999,251.0,79.327
NOR,5314.581388888887,256.0,79.327
NOR,5337.959166666666,263.0,79.327
NOR,5358.8036111111105,268.0,79.327
NOR,5373.934444444443,271.0,79.327
NOR,5404.7122222222215,277.0,79.327
NOR,5417.156666666666,280.0,79.327
NOR,5439.245555555555,284.0,79.327
