Driver,Distance,Speed,LapTimeSec
RUS,3.4875,279.0,78.518
RUS,38.80972222222222,289.0,78.518
RUS,54.86527777777778,289.0,78.518
RUS,74.26527777777778,291.0,78.518
RUS,90.43194444444444,291.0,78.518
RUS,126.32444444444445,293.0,78.518
RUS,139.34666666666666,293.0,78.518
RUS,162.44666666666666,297.0,78.518
RUS,185.54666666666668,297.0,78.518
RUS,205.41333333333333,298.0,78.518
RUS,228.59111111111113,298.0,78.518
RUS,241.8355555555556,298.0,78.518
RUS,272.61333333333334,277.0,78.518
RUS,288.81333333333333,243.0,78.518
RUS,326.7605555555556,190.0,78.518
RUS,340.91611111111115,182.0,78.518
RUS,350.9161111111111,180.0,78.518
RUS,364.605,176.0,78.518
RUS,376.2716666666667,175.0,78.518
RUS,392.0938888888889,178.0,78.518
RUS,418.49388888888893,198.0,78.518
RUS,427.5161111111112,203.0,78.518
RUS,451.40500000000003,215.0,78.518
RUS,466.1383333333334,221.0,78.518
RUS,484.1050000000001,231.0,78.518
RUS,510.88277777777785,241.0,78.518
RUS,530.2405555555556,248.0,78.518
RUS,549.7627777777778,251.0,78.518
RUS,572.7850000000001,259.0,78.518
RUS,599.1850000000001,264.0,78.518
RUS,623.3627777777779,272.0,78.518
RUS,648.2516666666668,280.0,78.518
RUS,673.585,285.0,78.518
RUS,708.9072222222223,289.0,78.518
RUS,728.373888888889,292.0,78.518
RUS,748.0405555555557,295.0,78.518
RUS,764.4027777777778,296.0,78.518
RUS,794.4027777777778,300.0,78.518
RUS,824.6027777777778,302.0,78.518
RUS,848.0916666666667,302.0,78.518
RUS,871.7361111111111,304.0,78.518
RUS,901.7361111111111,300.0,78.518
RUS,930.7361111111112,290.0,78.518
RUS,952.6694444444445,282.0,78.518
RUS,964.8916666666668,275.0,78.518
RUS,991.0472222222223,214.0,78.518
RUS,1000.1583333333334,205.0,78.518
RUS,1012.0916666666668,179.0,78.518
RUS,1024.4244444444446,158.0,78.518
RUS,1035.9355555555558,148.0,78.518
RUS,1046.357777777778,134.0,78.518
RUS,1057.38,124.0,78.518
RUS,1067.5133333333335,114.0,78.518
RUS,1076.068888888889,110.0,78.518
RUS,1084.157777777778,104.0,78.518
RUS,1089.8800000000003,103.0,78.518
RUS,1094.546666666667,105.0,78.518
RUS,1103.0244444444447,109.0,78.518
RUS,1117.5688888888892,119.0,78.518
RUS,1133.5436111111114,131.0,78.518
RUS,1148.6436111111113,151.0,78.518
RUS,1170.910277777778,167.0,78.518
RUS,1189.4658333333334,167.0,78.518
RUS,1198.5769444444445,164.0,78.518
RUS,1209.3769444444447,162.0,78.518
RUS,1225.6769444444446,163.0,78.518
RUS,1236.7436111111115,166.0,78.518
RUS,1248.2769444444448,173.0,78.518
RUS,1260.3436111111114,181.0,78.518
RUS,1275.199166666667,191.0,78.518
RUS,1288.5211111111114,199.0,78.518
RUS,1297.6322222222225,205.0,78.518
RUS,1314.3544444444449,215.0,78.518
RUS,1331.4655555555557,220.0,78.518
RUS,1346.7322222222226,229.0,78.518
RUS,1367.6211111111115,235.0,78.518
RUS,1391.6211111111115,240.0,78.518
RUS,1407.9544444444448,245.0,78.518
RUS,1435.5100000000004,248.0,78.518
RUS,1446.576666666667,249.0,78.518
RUS,1457.6877777777781,250.0,78.518
RUS,1477.2100000000003,251.0,78.518
RUS,1502.2402777777781,251.0,78.518
RUS,1521.9958333333338,254.0,78.518
RUS,1547.8958333333337,259.0,78.518
RUS,1562.340277777778,260.0,78.518
RUS,1579.6736111111113,260.0,78.518
RUS,1594.3402777777783,264.0,78.518
RUS,1606.1625000000006,266.0,78.518
RUS,1630.0736111111116,269.0,78.518
RUS,1662.9513888888891,269.0,78.518
RUS,1689.851388888889,269.0,78.518
RUS,1704.7958333333336,269.0,78.518
RUS,1728.5291666666667,267.0,78.518
RUS,1743.3625000000002,267.0,78.518
RUS,1763.8130555555556,262.0,78.518
RUS,1775.4130555555555,261.0,78.518
RUS,1797.6352777777777,250.0,78.518
RUS,1811.190833333333,244.0,78.518
RUS,1838.8130555555554,226.0,78.518
RUS,1865.701944444444,220.0,78.518
RUS,1890.2574999999997,221.0,78.518
RUS,1902.590833333333,222.0,78.518
RUS,1931.5574999999997,237.0,78.518
RUS,1959.113055555555,248.0,78.518
RUS,1975.843055555555,252.0,78.518
RUS,1987.2208333333328,256.0,78.518
RUS,2013.420833333333,262.0,78.518
RUS,2034.343055555555,269.0,78.518
RUS,2058.6986111111105,274.0,78.518
RUS,2070.920833333333,275.0,78.518
RUS,2099.120833333333,282.0,78.518
RUS,2117.9874999999997,283.0,78.518
RUS,2149.8763888888884,287.0,78.518
RUS,2172.354166666666,289.0,78.518
RUS,2194.9097222222213,290.0,78.518
RUS,2207.7986111111104,290.0,78.518
RUS,2220.768055555555,290.0,78.518
RUS,2246.5458333333327,290.0,78.518
RUS,2282.9680555555547,298.0,78.518
RUS,2296.2569444444434,299.0,78.518
RUS,2309.590277777777,300.0,78.518
RUS,2336.7902777777767,306.0,78.518
RUS,2367.8902777777766,311.0,78.518
RUS,2402.8902777777766,315.0,78.518
RUS,2420.501388888888,317.0,78.518
RUS,2438.168055555554,318.0,78.518
RUS,2463.056944444443,320.0,78.518
RUS,2480.9458333333323,322.0,78.518
RUS,2516.834722222221,323.0,78.518
RUS,2552.744722222221,324.0,78.518
RUS,2592.3447222222208,324.0,78.518
RUS,2610.5113888888877,327.0,78.518
RUS,2646.8447222222208,327.0,78.518
RUS,2686.811388888887,327.0,78.518
RUS,2701.3447222222208,327.0,78.518
RUS,2741.311388888887,327.0,78.518
RUS,2759.4224999999983,326.0,78.518
RUS,2788.2224999999985,324.0,78.518
RUS,2809.845555555554,323.0,78.518
RUS,2824.201111111109,323.0,78.518
RUS,2842.0899999999983,322.0,78.518
RUS,2859.978888888887,322.0,78.518
RUS,2884.867777777776,320.0,78.518
RUS,2906.0677777777764,318.0,78.518
RUS,2923.7344444444434,318.0,78.518
RUS,2952.0011111111103,318.0,78.518
RUS,2979.4677777777765,309.0,78.518
RUS,3017.2344444444434,309.0,78.518
RUS,3044.70111111111,309.0,78.518
RUS,3065.3011111111095,309.0,78.518
RUS,3078.323333333332,293.0,78.518
RUS,3097.856666666665,293.0,78.518
RUS,3119.944166666665,285.0,78.518
RUS,3132.610833333332,285.0,78.518
RUS,3157.321944444443,278.0,78.518
RUS,3175.855277777776,278.0,78.518
RUS,3194.1219444444428,274.0,78.518
RUS,3229.721944444443,267.0,78.518
RUS,3247.1886111111094,262.0,78.518
RUS,3272.2886111111093,251.0,78.518
RUS,3283.2219444444427,246.0,78.518
RUS,3301.8108333333316,239.0,78.518
RUS,3317.7441666666646,239.0,78.518
RUS,3336.477499999998,240.0,78.518
RUS,3352.6108333333314,242.0,78.518
RUS,3371.4330555555534,242.0,78.518
RUS,3387.6330555555537,243.0,78.518
RUS,3401.188611111109,244.0,78.518
RUS,3425.8886111111087,247.0,78.518
RUS,3442.5552777777757,250.0,78.518
RUS,3456.6108333333314,253.0,78.518
RUS,3476.5997222222204,257.0,78.518
RUS,3490.9330555555534,258.0,78.518
RUS,3502.6219444444428,263.0,78.518
RUS,3520.5552777777757,269.0,78.518
RUS,3538.6219444444423,271.0,78.518
RUS,3560.166388888887,277.0,78.518
RUS,3575.833055555554,282.0,78.518
RUS,3594.766388888887,284.0,78.518
RUS,3607.30972222222,284.0,78.518
RUS,3626.576388888887,289.0,78.518
RUS,3659.1319444444425,293.0,78.518
RUS,3691.7986111111095,294.0,78.518
RUS,3727.976388888887,296.0,78.518
RUS,3761.087499999998,298.0,78.518
RUS,3781.020833333331,299.0,78.518
RUS,3810.9208333333313,299.0,78.518
RUS,3831.071111111109,301.0,78.518
RUS,3851.137777777776,301.0,78.518
RUS,3871.1377777777757,300.0,78.518
RUS,3891.1377777777757,300.0,78.518
RUS,3907.8044444444427,300.0,78.518
RUS,3921.0488888888867,298.0,78.518
RUS,3947.271111111109,295.0,78.518
RUS,3982.9599999999978,292.0,78.518
RUS,4003.571111111109,265.0,78.518
RUS,4017.459999999998,250.0,78.518
RUS,4033.8711111111093,211.0,78.518
RUS,4045.937777777776,181.0,78.518
RUS,4056.4044444444426,157.0,78.518
RUS,4066.537777777776,152.0,78.518
RUS,4074.2044444444427,138.0,78.518
RUS,4086.9044444444426,127.0,78.518
RUS,4099.070555555553,122.0,78.518
RUS,4108.326111111109,119.0,78.518
RUS,4122.326111111109,126.0,78.518
RUS,4129.714999999997,133.0,78.518
RUS,4135.626111111108,133.0,78.518
RUS,4143.681666666664,145.0,78.518
RUS,4155.270555555552,149.0,78.518
RUS,4163.54833333333,149.0,78.518
RUS,4184.937222222219,175.0,78.518
RUS,4198.1252777777745,197.0,78.518
RUS,4214.147499999996,206.0,78.518
RUS,4230.869722222219,215.0,78.518
RUS,4242.925277777775,217.0,78.518
RUS,4255.369722222219,224.0,78.518
RUS,4265.325277777774,224.0,78.518
RUS,4285.858611111108,231.0,78.518
RUS,4296.258611111109,234.0,78.518
RUS,4311.858611111108,234.0,78.518
RUS,4332.036388888886,227.0,78.518
RUS,4344.425277777775,223.0,78.518
RUS,4361.691944444441,222.0,78.518
RUS,4437.691944444441,228.0,78.518
RUS,4458.072499999997,230.0,78.518
RUS,4476.194722222218,233.0,78.518
RUS,4486.550277777774,233.0,78.518
RUS,4502.283611111106,236.0,78.518
RUS,4514.505833333329,220.0,78.518
RUS,4527.639166666662,197.0,78.518
RUS,4547.072499999996,159.0,78.518
RUS,4560.472499999995,134.0,78.518
RUS,4567.41694444444,125.0,78.518
RUS,4575.316388888884,118.0,78.518
RUS,4581.594166666662,113.0,78.518
RUS,4593.3719444444405,106.0,78.518
RUS,4598.8719444444405,99.0,78.518
RUS,4606.338611111107,96.0,78.518
RUS,4616.783055555551,94.0,78.518
RUS,4621.138611111107,98.0,78.518
RUS,4625.583055555551,100.0,78.518
RUS,4634.138611111107,110.0,78.518
RUS,4640.249722222218,110.0,78.518
RUS,4648.316388888885,121.0,78.518
RUS,4653.694166666663,121.0,78.518
RUS,4669.294166666663,156.0,78.518
RUS,4682.049722222218,164.0,78.518
RUS,4701.049722222218,171.0,78.518
RUS,4712.516388888886,172.0,78.518
RUS,4720.294166666663,175.0,78.518
RUS,4732.111388888886,178.0,78.518
RUS,4742.166944444441,181.0,78.518
RUS,4756.789166666663,188.0,78.518
RUS,4772.111388888885,197.0,78.518
RUS,4783.389166666663,203.0,78.518
RUS,4795.0002777777745,209.0,78.518
RUS,4811.722499999997,215.0,78.518
RUS,4828.833611111108,220.0,78.518
RUS,4841.444722222219,227.0,78.518
RUS,4859.943888888886,237.0,78.518
RUS,4873.388333333331,242.0,78.518
RUS,4889.521666666664,242.0,78.518
RUS,4903.5772222222195,253.0,78.518
RUS,4929.777222222219,262.0,78.518
RUS,4941.554999999997,265.0,78.518
RUS,4959.621666666664,271.0,78.518
RUS,4981.010555555553,275.0,78.518
RUS,5008.510555555553,275.0,78.518
RUS,5030.754999999997,286.0,78.518
RUS,5063.199444444441,292.0,78.518
RUS,5085.98833333333,293.0,78.518
RUS,5099.010555555552,293.0,78.518
RUS,5118.610555555552,294.0,78.518
RUS,5138.210555555552,294.0,78.518
RUS,5161.232777777774,296.0,78.518
RUS,5177.677222222218,296.0,78.518
RUS,5194.177222222218,297.0,78.518
ANT,16.255555555555553,280.0,78.811
ANT,38.18888888888888,282.0,78.811
ANT,63.611111111111114,286.0,78.811
ANT,82.74444444444444,287.0,78.811
ANT,101.94444444444444,288.0,78.811
ANT,118.00000000000001,289.0,78.811
ANT,137.20000000000002,288.0,78.811
ANT,156.60000000000002,291.0,78.811
ANT,172.68583333333336,291.0,78.811
ANT,208.49694444444447,293.0,78.811
ANT,228.03027777777777,293.0,78.811
ANT,246.9636111111111,284.0,78.811
ANT,262.4636111111111,279.0,78.811
ANT,286.4636111111111,240.0,78.811
ANT,298.4636111111111,216.0,78.811
ANT,313.39694444444444,192.0,78.811
ANT,329.1302777777778,177.0,78.811
ANT,336.7747222222222,172.0,78.811
ANT,351.6191666666666,167.0,78.811
