Driver,Distance,Speed,LapTimeSec
ANT,16.894166666666663,291.0,92.064
ANT,29.827499999999997,291.0,92.064
ANT,43.0275,297.0,92.064
ANT,56.2275,297.0,92.064
ANT,72.94972222222222,301.0,92.064
ANT,96.90527777777778,308.0,92.064
ANT,110.6386111111111,309.0,92.064
ANT,131.30527777777777,310.0,92.064
ANT,148.80527777777777,315.0,92.064
ANT,166.36083333333335,316.0,92.064
ANT,191.17194444444445,319.0,92.064
ANT,212.4163888888889,320.0,92.064
ANT,237.55027777777778,322.0,92.064
ANT,255.43916666666664,322.0,92.064
ANT,291.3280555555556,323.0,92.064
ANT,305.68361111111113,323.0,92.064
ANT,327.2169444444445,323.0,92.064
ANT,355.9280555555556,323.0,92.064
ANT,395.1613888888889,321.0,92.064
ANT,427.2613888888889,321.0,92.064
ANT,448.66138888888884,321.0,92.064
ANT,480.76138888888886,321.0,92.064
ANT,516.4502777777777,292.0,92.064
ANT,539.1613888888888,292.0,92.064
ANT,558.6280555555555,292.0,92.064
ANT,578.0947222222222,292.0,92.064
ANT,594.3169444444445,292.0,92.064
ANT,610.5391666666668,292.0,92.064
ANT,630.0058333333334,292.0,92.064
ANT,641.3947222222223,205.0,92.064
ANT,650.1947222222223,198.0,92.064
ANT,671.1947222222223,189.0,92.064
ANT,685.3502777777778,182.0,92.064
ANT,696.7502777777778,171.0,92.064
ANT,705.9725,166.0,92.064
ANT,714.5836111111112,155.0,92.064
ANT,728.7836111111111,142.0,92.064
ANT,742.083611111111,133.0,92.064
ANT,754.7836111111111,127.0,92.064
ANT,766.0725,127.0,92.064
ANT,773.7391666666666,115.0,92.064
ANT,783.5169444444444,110.0,92.064
ANT,792.8502777777778,105.0,92.064
ANT,808.0169444444444,105.0,92.064
ANT,814.8169444444444,102.0,92.064
ANT,821.6169444444444,102.0,92.064
ANT,827.1724999999999,100.0,92.064
ANT,832.7280555555554,100.0,92.064
ANT,844.0280555555554,113.0,92.064
ANT,852.3613888888888,125.0,92.064
ANT,862.083611111111,125.0,92.064
ANT,874.583611111111,125.0,92.064
ANT,882.9169444444444,125.0,92.064
ANT,891.2502777777778,125.0,92.064
ANT,899.583611111111,125.0,92.064
ANT,907.5947222222222,103.0,92.064
ANT,914.1947222222223,99.0,92.064
ANT,918.5058333333334,97.0,92.064
ANT,925.8947222222223,95.0,92.064
ANT,930.2058333333334,97.0,92.064
ANT,940.3058333333335,101.0,92.064
ANT,945.1058333333334,108.0,92.064
ANT,959.6502777777778,119.0,92.064
ANT,974.0947222222223,130.0,92.064
ANT,980.450277777778,143.0,92.064
ANT,988.3947222222224,143.0,92.064
ANT,1000.6058333333334,157.0,92.064
ANT,1012.4058333333335,177.0,92.064
ANT,1028.4947222222224,181.0,92.064
ANT,1041.6280555555556,197.0,92.064
ANT,1050.6947222222223,204.0,92.064
ANT,1065.0280555555557,215.0,92.064
ANT,1084.9391666666668,224.0,92.064
ANT,1108.5391666666667,236.0,92.064
ANT,1180.8391666666666,241.0,92.064
ANT,1216.3058333333333,266.0,92.064
ANT,1234.5058333333334,273.0,92.064
ANT,1256.1280555555554,278.0,92.064
ANT,1271.6836111111108,280.0,92.064
ANT,1287.2391666666667,280.0,92.064
ANT,1309.0169444444443,280.0,92.064
ANT,1334.4391666666666,286.0,92.064
ANT,1353.5058333333334,286.0,92.064
ANT,1378.9280555555556,286.0,92.064
ANT,1410.9280555555556,288.0,92.064
ANT,1439.3280555555555,284.0,92.064
ANT,1474.0391666666667,284.0,92.064
ANT,1491.3725,260.0,92.064
ANT,1505.7725,216.0,92.064
ANT,1518.4391666666666,190.0,92.064
ANT,1531.583611111111,169.0,92.064
ANT,1539.6391666666664,145.0,92.064
ANT,1547.2502777777775,137.0,92.064
ANT,1556.2724999999998,116.0,92.064
ANT,1561.2058333333332,111.0,92.064
ANT,1569.2947222222222,104.0,92.064
ANT,1573.6502777777775,98.0,92.064
ANT,1582.0058333333332,94.0,92.064
ANT,1589.5613888888888,85.0,92.064
ANT,1595.2280555555556,85.0,92.064
ANT,1601.5280555555555,81.0,92.064
ANT,1606.0280555555555,81.0,92.064
ANT,1612.3280555555555,81.0,92.064
ANT,1618.6280555555554,81.0,92.064
ANT,1624.5169444444443,106.0,92.064
ANT,1638.6633333333332,127.0,92.064
ANT,1644.2725,127.0,92.064
ANT,1652.7391666666667,127.0,92.064
ANT,1663.2058333333334,157.0,92.064
ANT,1672.8169444444447,173.0,92.064
ANT,1685.2836111111114,187.0,92.064
ANT,1695.6725000000004,187.0,92.064
ANT,1715.9725000000003,203.0,92.064
ANT,1725.4836111111115,214.0,92.064
ANT,1742.5947222222226,220.0,92.064
ANT,1763.2169444444448,232.0,92.064
ANT,1776.2725000000003,235.0,92.064
ANT,1792.2725000000003,240.0,92.064
ANT,1803.2502777777784,247.0,92.064
ANT,1814.228055555556,247.0,92.064
ANT,1828.505833333334,257.0,92.064
ANT,1842.7836111111114,257.0,92.064
ANT,1866.0725000000004,262.0,92.064
ANT,1889.8058333333338,267.0,92.064
ANT,1901.805833333334,270.0,92.064
ANT,1916.9169444444449,272.0,92.064
ANT,1938.0725000000004,272.0,92.064
ANT,1959.228055555556,272.0,92.064
ANT,1971.3169444444452,272.0,92.064
ANT,1989.3836111111116,271.0,92.064
ANT,2007.316944444445,269.0,92.064
ANT,2025.2502777777784,269.0,92.064
ANT,2051.924166666667,266.0,92.064
ANT,2069.590833333334,265.0,92.064
ANT,2084.239444444445,265.0,92.064
ANT,2098.9616666666675,265.0,92.064
ANT,2113.350555555556,259.0,92.064
ANT,2124.8172222222233,258.0,92.064
ANT,2147.48388888889,255.0,92.064
ANT,2161.539444444445,253.0,92.064
ANT,2181.217222222223,253.0,92.064
ANT,2200.428333333334,247.0,92.064
ANT,2219.3283333333343,243.0,92.064
ANT,2235.195000000001,238.0,92.064
ANT,2258.395000000001,232.0,92.064
ANT,2271.0061111111117,227.0,92.064
ANT,2285.539444444445,218.0,92.064
ANT,2299.8727777777785,215.0,92.064
ANT,2318.0950000000007,205.0,92.064
ANT,2333.5727777777784,199.0,92.064
ANT,2348.5838888888893,193.0,92.064
ANT,2361.2505555555563,190.0,92.064
ANT,2373.4505555555565,183.0,92.064
ANT,2387.606111111112,182.0,92.064
ANT,2397.8283333333343,184.0,92.064
ANT,2416.2283333333344,184.0,92.064
ANT,2424.7172222222234,191.0,92.064
ANT,2435.4394444444456,193.0,92.064
