X,Y
-2530.940625,8321.309375
-2629.940625,8470.309375
-2770.940625,8682.309375
-2914.940625,8900.309375
-2987.940625,9011.309375
-3153.940625,9261.309375
-3238.940625,9389.309375
-3307.940625,9493.309375
-3419.940625,9662.309375
-3532.940625,9833.309375
-3781.940625,10209.309375
-3904.940625,10395.309375
-4084.940625,10668.309375
-4184.940625,10826.309375
-4291.940625,11025.309375
-4321.940625,11104.309375
-4341.940625,11188.309375
-4345.940625,11282.309375
-4338.940625,11328.309375
-4277.940625,11431.309375
-4208.940625,11467.309375
-4170.940625,11475.309375
-4140.940625,11476.309375
-4066.940625,11466.309375
-3956.940625,11435.309375
-3879.940625,11406.309375
-3808.940625,11377.309375
-3754.940625,11352.309375
-3552.940625,11254.309375
-3456.940625,11205.309375
-3371.940625,11161.309375
-3194.940625,11070.309375
-3069.940625,11007.309375
-2660.940625,10791.309375
-2527.940625,10714.309375
-2392.940625,10633.309375
-2233.940625,10530.309375
-2061.940625,10410.309375
-1890.940625,10280.309375
-1741.940625,10163.309375
-1615.940625,10059.309375
-1435.940625,9897.309375
-1095.940625,9558.309375
-985.940625,9444.309375
-908.940625,9364.309375
-767.940625,9216.309375
-622.940625,9063.309375
-421.94062499999995,8848.309375
-342.94062499999995,8763.309375
-252.94062499999995,8666.309375
-150.94062499999995,8556.309375
76.05937500000005,8308.309375
267.05937500000005,8091.309375
449.05937500000005,7887.309375
712.059375,7618.309375
923.059375,7458.309375
1470.059375,7144.309375
1664.059375,6915.309375
1746.059375,6762.309375
1843.059375,6525.309375
1893.059375,6348.309375
1960.059375,5947.309375
2057.059375,5658.309375
2168.059375,5449.309375
2265.059375,5287.309375
2500.059375,4931.309375
2581.059375,4821.309375
2623.059375,4766.309375
2872.059375,4436.309375
3066.059375,4171.309375
3329.059375,3802.309375
3407.059375,3687.309375
3585.059375,3407.309375
3653.059375,3290.309375
3896.059375,2800.309375
3977.059375,2603.309375
4089.059375,2283.309375
4236.059375,1839.3093749999998
4293.059375,1668.3093749999998
4396.059375,1359.3093749999998
4465.059375,1151.3093749999998
4511.059375,1013.3093749999998
4586.059375,787.3093749999998
4632.059375,648.3093749999998
4771.059375,229.30937499999982
4818.059375,89.30937499999982
4895.059375,-138.69062500000018
5001.059375,-453.6906250000002
5149.059375,-893.6906250000002
5197.059375,-1034.6906250000002
5322.059375,-1406.6906250000002
5400.059375,-1636.6906250000002
5483.059375,-1885.6906250000002
5639.059375,-2347.690625
5735.059375,-2633.690625
5825.059375,-2901.690625
5860.059375,-3009.690625
5954.059375,-3296.690625
6051.059375,-3581.690625
6124.059375,-3793.690625
6188.059375,-3992.690625
6242.059375,-4188.690625
6276.059375,-4456.690625
6266.059375,-4559.690625
6245.059375,-4637.690625
6154.059375,-4804.690625
6076.059375,-4895.690625
5783.059375,-5276.690625
5761.059375,-5368.690625
5754.059375,-5535.690625
5790.059375,-5733.690625
5860.059375,-5937.690625
5909.059375,-6065.690625
5956.059375,-6199.690625
5981.059375,-6283.690625
6007.059375,-6446.690625
6002.059375,-6590.690625
5977.059375,-6704.690625
5932.059375,-6822.690625
5845.059375,-6974.690625
5755.059375,-7085.690625
5501.059375,-7289.690625
5329.059375,-7405.690625
5219.059375,-7480.690625
5063.059375,-7587.690625
4698.059375,-7852.690625
4452.059375,-8038.690625
4275.059375,-8175.690625
4047.059375,-8352.690625
3816.059375,-8530.690625
3427.059375,-8763.690625
3324.059375,-8810.690625
3204.059375,-8841.690625
3114.059375,-8842.690625
3006.059375,-8823.690625
2873.059375,-8754.690625
2778.059375,-8660.690625
2737.059375,-8601.690625
2697.059375,-8505.690625
2688.059375,-8296.690625
2712.059375,-8207.690625
2759.059375,-8106.690625
2839.059375,-7996.690625
2943.059375,-7894.690625
3222.059375,-7699.690625
3337.059375,-7637.690625
3550.059375,-7524.690625
3663.059375,-7458.690625
3859.059375,-7312.690625
3950.059375,-7213.690625
4032.059375,-7083.690625
4067.059375,-6988.690625
4087.059375,-6732.690625
4050.059375,-6520.690625
4013.059375,-6401.690625
3950.059375,-6237.690625
3884.059375,-6083.690625
3827.059375,-5949.690625
3711.059375,-5666.690625
3656.059375,-5525.690625
3645.059375,-5499.690625
3574.059375,-5296.690625
3463.059375,-4915.690625
3415.059375,-4725.690625
3372.059375,-4547.690625
3306.059375,-4259.690625
3254.059375,-4012.690625
3168.059375,-3605.690625
3107.059375,-3318.690625
3043.059375,-3029.690625
2989.059375,-2787.690625
2942.059375,-2593.690625
2753.059375,-2142.690625
2650.059375,-2004.6906250000002
2490.059375,-1850.6906250000002
2334.059375,-1744.6906250000002
1963.059375,-1628.6906250000002
1781.059375,-1615.6906250000002
1524.059375,-1608.6906250000002
1445.059375,-1609.6906250000002
1177.059375,-1632.6906250000002
922.059375,-1710.6906250000002
733.059375,-1810.6906250000002
492.05937500000005,-1984.6906250000002
431.05937500000005,-2038.6906250000002
193.05937500000005,-2305.690625
27.059375000000045,-2568.690625
-73.94062499999995,-2778.690625
-152.94062499999995,-2977.690625
-195.94062499999995,-3104.690625
