X,Y
-3110.021875,-1630.1999999999998
-3097.021875,-1351.1999999999998
-3084.021875,-1053.1999999999998
-3079.021875,-936.1999999999998
-3071.021875,-735.1999999999998
-3060.021875,-464.1999999999998
-3051.021875,-260.1999999999998
-3035.021875,66.80000000000018
-3023.021875,343.8000000000002
-3016.021875,516.8000000000002
-3008.021875,724.8000000000002
-3002.021875,864.8000000000002
-2994.021875,1109.8000000000002
-2987.021875,1302.8000000000002
-2951.021875,2335.8
-2946.021875,2477.8
-2943.021875,2584.8
-2936.021875,2799.8
-2931.021875,2942.8
-2924.021875,3175.8
-2920.021875,3318.8
-2914.021875,3528.8
-2909.021875,3758.8
-2889.021875,4390.8
-2882.021875,4574.8
-2877.021875,4683.8
-2869.021875,4843.8
-2863.021875,4927.8
-2846.021875,5079.8
-2816.021875,5189.8
-2798.021875,5226.8
-2757.021875,5282.8
-2731.021875,5307.8
-2698.021875,5329.8
-2659.021875,5345.8
-2609.021875,5350.8
-2553.021875,5339.8
-2516.021875,5322.8
-2467.021875,5290.8
-2428.021875,5259.8
-2358.021875,5193.8
-2300.021875,5131.8
-2273.021875,5102.8
-2251.021875,5080.8
-2214.021875,5043.8
-2145.021875,4985.8
-1921.021875,4882.8
-1839.021875,4869.8
-1435.021875,4911.8
-1217.021875,4966.8
-1072.021875,5014.8
-909.0218749999999,5058.8
-824.0218749999999,5069.8
-608.0218749999999,5073.8
-413.0218749999999,5063.8
-282.0218749999999,5051.8
-97.02187499999991,5025.8
64.97812500000009,4995.8
313.9781250000001,4943.8
425.9781250000001,4920.8
668.9781250000001,4872.8
901.9781250000001,4824.8
1063.978125,4791.8
1303.978125,4743.8
1606.978125,4682.8
1792.978125,4645.8
1917.978125,4620.8
2217.978125,4560.8
2488.978125,4508.8
2909.978125,4428.8
3252.978125,4364.8
3517.978125,4316.8
3572.978125,4306.8
3787.978125,4267.8
3988.978125,4230.8
4223.978125,4186.8
4396.978125,4139.8
4521.978125,4085.8
4619.978125,4024.8
4684.978125,3965.8
4726.978125,3904.8
4759.978125,3797.8
4761.978125,3676.8
4747.978125,3584.8
4717.978125,3489.8
4656.978125,3372.8
4621.978125,3321.8
4618.978125,3318.8
4545.978125,3239.8
4405.978125,3113.8
4303.978125,3036.8
4209.978125,2971.8
4058.978125,2866.8
3985.978125,2814.8
3835.978125,2701.8
3683.978125,2579.8
3563.978125,2472.8
3375.978125,2271.8
3251.978125,2112.8
3148.978125,1963.8000000000002
3008.978125,1737.8000000000002
2878.978125,1539.8000000000002
2739.978125,1386.8000000000002
2642.978125,1310.8000000000002
2540.978125,1251.8000000000002
2348.978125,1197.8000000000002
2129.978125,1187.8000000000002
2031.978125,1189.8000000000002
1858.978125,1193.8000000000002
1732.978125,1188.8000000000002
1630.978125,1177.8000000000002
1493.978125,1148.8000000000002
1395.978125,1116.8000000000002
1195.978125,1022.8000000000002
925.9781250000001,809.8000000000002
802.9781250000001,661.8000000000002
753.9781250000001,592.8000000000002
675.9781250000001,475.8000000000002
570.9781250000001,306.8000000000002
434.9781250000001,74.80000000000018
325.9781250000001,-100.19999999999982
269.9781250000001,-180.19999999999982
223.9781250000001,-241.19999999999982
170.9781250000001,-308.1999999999998
64.97812500000009,-429.1999999999998
