X,Y
-4369.684375,-7546.0375
-4358.684375,-7422.0375
-4344.684375,-7261.0375
-4324.684375,-7046.0375
-4308.684375,-6866.0375
-4283.684375,-6575.0375
-4266.684375,-6375.0375
-4244.684375,-6118.0375
-4222.684375,-5861.0375
-4207.684375,-5695.0375
-4187.684375,-5454.0375
-4163.684375,-5175.0375
-4148.684375,-5007.0375
-4124.684375,-4727.0375
-4109.684375,-4559.0375
-4096.684375,-4408.0375
-4080.684375,-4220.0375
-4056.684375,-3937.0375000000004
-4043.684375,-3786.0375000000004
-4030.684375,-3635.0375000000004
-3992.684375,-3199.0375000000004
-3971.684375,-2952.0375000000004
-3958.684375,-2799.0375000000004
-3946.684375,-2666.0375000000004
-3930.684375,-2476.0375000000004
-3912.684375,-2266.0375000000004
-3899.684375,-2113.0375000000004
-3876.684375,-1845.0375000000004
-3846.684375,-1500.0375000000004
-3813.684375,-1117.0375000000004
-3783.684375,-759.0375000000004
-3780.684375,-720.0375000000004
-3762.684375,-510.03750000000036
-3742.684375,-281.03750000000036
-3715.684375,41.962499999999636
-3709.684375,115.96249999999964
-3692.684375,317.96249999999964
-3680.684375,464.96249999999964
-3658.684375,718.9624999999996
-3651.684375,788.9624999999996
-3628.684375,956.9624999999996
-3593.684375,1072.9624999999996
-3574.684375,1109.9624999999996
-3522.684375,1186.9624999999996
-3497.684375,1210.9624999999996
-3423.684375,1249.9624999999996
-3370.684375,1262.9624999999996
-3356.684375,1264.9624999999996
-3264.684375,1287.9624999999996
-3206.684375,1327.9624999999996
-3182.684375,1363.9624999999996
-3173.684375,1383.9624999999996
-3156.684375,1455.9624999999996
-3152.684375,1493.9624999999996
-3151.684375,1544.9624999999996
-3155.684375,1593.9624999999996
-3161.684375,1639.9624999999996
-3168.684375,1677.9624999999996
-3188.684375,1759.9624999999996
-3206.684375,1828.9624999999996
-3224.684375,1897.9624999999996
-3239.684375,1951.9624999999996
-3279.684375,2103.9624999999996
-3300.684375,2188.9624999999996
-3338.684375,2345.9624999999996
-3362.684375,2455.9624999999996
-3393.684375,2625.9624999999996
-3415.684375,2784.9624999999996
-3428.684375,2952.9624999999996
-3433.684375,3064.9624999999996
-3437.684375,3320.9624999999996
-3437.684375,3373.9624999999996
-3434.684375,3521.9624999999996
-3427.684375,3700.9624999999996
-3414.684375,3897.9624999999996
-3400.684375,4055.9624999999996
