X,Y
2121.4,-7514.23125
2042.4,-7300.23125
1957.4,-7068.23125
1872.4,-6835.23125
1755.4,-6517.23125
1681.4,-6315.23125
1613.4,-6128.23125
1526.4,-5891.23125
1444.4,-5669.23125
1388.4,-5516.23125
1282.4,-5225.23125
1214.4,-4998.23125
1091.4,-4538.23125
1015.4000000000001,-4257.23125
976.4000000000001,-4116.23125
900.4000000000001,-3838.23125
856.4000000000001,-3681.23125
789.4000000000001,-3456.23125
774.4000000000001,-3414.23125
734.4000000000001,-3314.23125
681.4000000000001,-3210.23125
640.4000000000001,-3152.23125
587.4000000000001,-3099.23125
556.4000000000001,-3078.23125
321.4000000000001,-3057.23125
251.4000000000001,-3072.23125
171.4000000000001,-3080.23125
72.40000000000009,-3066.23125
32.40000000000009,-3044.23125
-21.59999999999991,-2989.23125
-36.59999999999991,-2962.23125
-59.59999999999991,-2895.23125
-66.59999999999991,-2842.23125
-66.59999999999991,-2790.23125
-64.59999999999991,-2741.23125
-63.59999999999991,-2719.23125
-30.59999999999991,-2450.23125
4.400000000000091,-2276.23125
49.40000000000009,-2073.23125
68.40000000000009,-1983.2312499999998
95.40000000000009,-1814.2312499999998
113.40000000000009,-1623.2312499999998
115.40000000000009,-1457.2312499999998
104.40000000000009,-1307.2312499999998
99.40000000000009,-1253.2312499999998
84.40000000000009,-1113.2312499999998
47.40000000000009,-825.2312499999998
28.40000000000009,-678.2312499999998
-10.599999999999909,-381.2312499999998
-24.59999999999991,-276.2312499999998
-53.59999999999991,-47.23124999999982
-74.59999999999991,111.76875000000018
-83.59999999999991,184.76875000000018
-120.59999999999991,463.7687500000002
-140.5999999999999,626.7687500000002
-165.5999999999999,847.7687500000002
-177.5999999999999,1006.7687500000002
-187.5999999999999,1133.7687500000002
-198.5999999999999,1205.7687500000002
-209.5999999999999,1247.7687500000002
-332.5999999999999,1407.7687500000002
-401.5999999999999,1443.7687500000002
-496.5999999999999,1482.7687500000002
-612.5999999999999,1532.7687500000002
-644.5999999999999,1548.7687500000002
-758.5999999999999,1621.7687500000002
-876.5999999999999,1735.7687500000002
-958.5999999999999,1847.7687500000002
-1027.6,1971.7687500000002
-1079.6,2094.76875
-1111.6,2199.76875
