X,Y
7206.325,449.14375
7182.325,604.14375
7170.325,682.14375
7131.325,934.14375
7113.325,1062.14375
7071.325,1351.14375
7049.325,1514.14375
6997.325,1908.14375
6971.325,2108.14375
6946.325,2309.14375
6932.325,2429.14375
6910.325,2615.14375
6883.325,2852.14375
6846.325,3174.14375
6837.325,3253.14375
6796.325,3510.14375
6773.325,3615.14375
6734.325,3745.14375
6658.325,3883.14375
6425.325,4036.14375
6346.325,4055.14375
6233.325,4077.14375
6131.325,4101.14375
6028.325,4138.14375
5930.325,4198.14375
5798.325,4305.14375
5724.325,4370.14375
5684.325,4403.14375
5628.325,4445.14375
5559.325,4486.14375
5485.325,4510.14375
5420.325,4514.14375
5366.325,4505.14375
5274.325,4460.14375
5217.325,4403.14375
5175.325,4337.14375
5127.325,4211.14375
5108.325,4136.14375
5076.325,3842.14375
5077.325,3789.14375
5082.325,3706.14375
5118.325,3468.14375
5148.325,3353.14375
5192.325,3222.14375
5212.325,3167.14375
5269.325,3022.14375
5306.325,2932.14375
5379.325,2758.14375
5434.325,2628.14375
5509.325,2444.14375
5548.325,2344.14375
5626.325,2125.14375
5687.325,1925.14375
5723.325,1776.14375
5748.325,1646.14375
5766.325,1508.14375
5773.325,1392.14375
5752.325,1039.14375
5724.325,952.14375
5639.325,817.14375
5575.325,758.14375
5507.325,717.14375
5363.325,658.14375
5213.325,620.14375
5113.325,603.14375
4944.325,586.14375
4805.325,580.14375
4780.325,580.14375
4629.325,583.14375
4520.325,589.14375
4371.325,602.14375
4269.325,612.14375
4114.325,627.14375
3982.325,639.14375
3694.325,663.14375
3581.325,673.14375
2644.325,746.14375
2329.325,771.14375
2123.325,788.14375
1769.3249999999998,817.14375
1574.3249999999998,837.14375
1395.3249999999998,859.14375
1265.3249999999998,880.14375
1055.3249999999998,925.14375
911.3249999999998,967.14375
708.3249999999998,1043.14375
509.3249999999998,1138.14375
299.3249999999998,1253.14375
152.32499999999982,1340.14375
-67.67500000000018,1472.14375
-214.67500000000018,1562.14375
-348.6750000000002,1644.14375
-455.6750000000002,1709.14375
-687.6750000000002,1853.14375
-1095.6750000000002,2119.14375
-1343.6750000000002,2285.14375
-1428.6750000000002,2343.14375
-1585.6750000000002,2440.14375
-1745.6750000000002,2510.14375
-1845.6750000000002,2542.14375
-1946.6750000000002,2564.14375
-2026.6750000000002,2572.14375
-2144.675,2554.14375
-2184.675,2540.14375
-2340.675,2428.14375
-2382.675,2384.14375
-2444.675,2311.14375
-2517.675,2215.14375
-2590.675,2108.14375
-2700.675,1939.14375
-2789.675,1761.14375
-2850.675,1630.14375
-2902.675,1513.14375
-3005.675,1273.14375
-3054.675,1175.14375
-3111.675,1083.14375
-3145.675,1039.14375
-3239.675,964.14375
-3274.675,952.14375
-3369.675,959.14375
-3411.675,979.14375
-3471.675,1020.14375
-3498.675,1042.14375
-3529.675,1070.14375
-3599.675,1144.14375
-3649.675,1200.14375
-3653.675,1205.14375
-3766.675,1353.14375
-3802.675,1400.14375
-3909.675,1535.14375
-3992.675,1633.14375
-4101.675,1752.14375
-4347.675,1962.14375
-4436.675,2012.14375
-4551.675,2056.14375
-4670.675,2082.14375
-4716.675,2084.14375
-4820.675,2071.14375
-4898.675,2041.14375
-4954.675,2012.14375
-5013.675,1974.14375
-5067.675,1928.14375
-5163.675,1820.14375
-5247.675,1701.14375
-5294.675,1628.14375
-5385.675,1468.14375
-5477.675,1292.14375
-5530.675,1178.14375
-5609.675,1012.14375
-5669.675,895.14375
-5751.675,737.14375
-5865.675,529.14375
-6008.675,283.14375
-6077.675,164.14375
-6162.675,18.14375000000001
-6290.675,-204.85625
-6414.675,-418.85625
-6487.675,-546.85625
-6562.675,-674.85625
-6609.675,-750.85625
-6771.675,-994.85625
-6867.675,-1153.85625
-6944.675,-1291.85625
-6955.675,-1317.85625
-6993.675,-1469.85625
-6993.675,-1540.85625
-6976.675,-1654.85625
-6963.675,-1703.85625
-6936.675,-1783.85625
-6873.675,-1910.85625
-6793.675,-2019.85625
-6716.675,-2091.85625
-6657.675,-2134.85625
-6592.675,-2173.85625
-6478.675,-2228.85625
-6408.675,-2254.85625
-6365.675,-2270.85625
-6285.675,-2296.85625
-6148.675,-2360.85625
-6080.675,-2433.85625
-6026.675,-2548.85625
-5994.675,-2672.85625
-5978.675,-2756.85625
-5955.675,-2893.85625
-5913.675,-3113.85625
-5896.675,-3165.85625
-5839.675,-3261.85625
-5759.675,-3344.85625
-5557.675,-3511.85625
-5397.675,-3640.85625
-5324.675,-3701.85625
-5202.675,-3808.85625
-5117.675,-3891.85625
-5064.675,-3949.85625
-4997.675,-4032.85625
-4921.675,-4143.85625
-4854.675,-4249.85625
-4807.675,-4319.85625
-4714.675,-4422.85625
-4677.675,-4448.85625
-4608.675,-4477.85625
-4596.675,-4480.85625
-4536.675,-4473.85625
-4481.675,-4441.85625
-4458.675,-4415.85625
-4430.675,-4374.85625
-4412.675,-4339.85625
-4375.675,-4231.85625
-4363.675,-4182.85625
-4357.675,-4156.85625
-4344.675,-4092.85625
-4329.675,-4010.85625
-4318.675,-3947.85625
-4301.675,-3830.85625
-4289.675,-3735.85625
-4269.675,-3575.85625
-4246.675,-3412.85625
-4225.675,-3271.85625
-4194.675,-3102.85625
-4157.675,-2912.85625
-4135.675,-2801.85625
-4096.675,-2598.85625
-4072.675,-2467.85625
-4031.675,-2224.85625
-4023.675,-2183.85625
-3991.675,-2002.85625
-3935.675,-1717.85625
-3898.675,-1528.85625
-3853.675,-1307.85625
-3818.675,-1142.85625
