X,Y
3275.484375,1534.0125
3275.484375,1534.0125
3184.484375,1391.0125
3074.484375,1218.0125
2973.484375,1058.0125
2843.484375,854.0125
2750.484375,707.0125
2675.484375,589.0125
2675.484375,589.0125
2572.484375,426.01250000000005
2440.484375,218.01250000000005
2307.484375,8.012500000000045
2221.484375,-126.98749999999995
2059.484375,-381.98749999999995
2002.484375,-471.98749999999995
2002.484375,-471.98749999999995
1821.484375,-747.9875
1732.484375,-881.9875
1573.484375,-1120.9875
1464.484375,-1284.9875
1364.484375,-1433.9875
1225.484375,-1641.9875
1225.484375,-1641.9875
1005.484375,-1969.9875
804.484375,-2268.9875
654.484375,-2492.9875
613.484375,-2551.9875
489.484375,-2738.9875
400.484375,-2873.9875
247.484375,-3119.9875
247.484375,-3119.9875
155.484375,-3275.9875
137.484375,-3306.9875
20.484375,-3510.9875
-145.515625,-3809.9875
-294.515625,-4076.9875
-393.515625,-4245.9875
-393.515625,-4245.9875
-505.515625,-4419.9875
-579.515625,-4522.9875
-706.515625,-4677.9875
-767.515625,-4741.9875
-943.515625,-4879.9875
-984.515625,-4902.9875
-984.515625,-4902.9875
-1077.515625,-4937.9875
-1273.515625,-4945.9875
-1425.515625,-4900.9875
-1736.515625,-4760.9875
-1896.515625,-4723.9875
-2012.515625,-4728.9875
-2012.515625,-4728.9875
-2134.515625,-4759.9875
-2177.515625,-4775.9875
-2317.515625,-4844.9875
-2552.515625,-5000.9875
-2654.515625,-5073.9875
-2749.515625,-5137.9875
-2837.515625,-5193.9875
-2837.515625,-5193.9875
-2940.515625,-5251.9875
-3158.515625,-5349.9875
-3301.515625,-5389.9875
-3519.515625,-5411.9875
-3787.515625,-5381.9875
-3886.515625,-5354.9875
-3886.515625,-5354.9875
-4105.515625,-5259.9875
-4246.515625,-5165.9875
-4359.515625,-5058.9875
-4501.515625,-4859.9875
-4528.515625,-4808.9875
-4623.515625,-4549.9875
-4623.515625,-4549.9875
-4653.515625,-4390.9875
-4666.515625,-4243.9875
-4667.515625,-4051.9875
-4638.515625,-3753.9875
-4600.515625,-3546.9875
-4584.515625,-3472.9875
-4584.515625,-3472.9875
-4547.515625,-3325.9875
-4410.515625,-2970.9875
-4342.515625,-2847.9875
-4276.515625,-2741.9875
-4079.515625,-2457.9875
-3977.515625,-2316.9875
-3842.515625,-2102.9875
-3842.515625,-2102.9875
-3793.515625,-2019.9875
-3645.515625,-1771.9875
-3553.515625,-1626.9875
-3427.515625,-1439.9875
-3372.515625,-1359.9875
-3179.515625,-1095.9875
-3179.515625,-1095.9875
-3103.515625,-1011.9875
-2964.515625,-893.9875
-2814.515625,-819.9875
-2665.515625,-792.9875
-2548.515625,-800.9875
-2446.515625,-828.9875
-2446.515625,-828.9875
-2321.515625,-891.9875
-2242.515625,-953.9875
-2222.515625,-976.9875
-2129.515625,-1087.9875
-2071.515625,-1180.9875
-1991.515625,-1385.9875
-1991.515625,-1385.9875
-1977.515625,-1449.9875
-1961.515625,-1641.9875
-1986.515625,-1851.9875
-2020.515625,-1967.9875
-2088.515625,-2127.9875
-2174.515625,-2269.9875
-2311.515625,-2463.9875
-2311.515625,-2463.9875
-2374.515625,-2550.9875
-2462.515625,-2670.9875
-2503.515625,-2726.9875
-2634.515625,-2905.9875
-2700.515625,-2996.9875
-2800.515625,-3133.9875
-2800.515625,-3133.9875
-2898.515625,-3270.9875
-2970.515625,-3378.9875
-3030.515625,-3476.9875
-3051.515625,-3516.9875
-3104.515625,-3624.9875
-3159.515625,-3813.9875
-3159.515625,-3813.9875
-3163.515625,-3883.9875
