X,Y
-1056.634375,-3778.16875
-1056.634375,-3778.16875
-1262.634375,-3582.16875
-1401.634375,-3449.16875
-1576.634375,-3283.16875
-1728.634375,-3138.16875
-1857.634375,-3016.16875
-1975.634375,-2904.16875
-2105.634375,-2779.16875
-2201.634375,-2688.16875
-2333.634375,-2563.16875
-2473.634375,-2431.16875
-2473.634375,-2431.16875
-2746.634375,-2171.16875
-2896.634375,-2031.1687499999998
-3041.634375,-1894.1687499999998
-3273.634375,-1657.1687499999998
-3395.634375,-1492.1687499999998
-3433.634375,-1421.1687499999998
-3469.634375,-1323.1687499999998
-3484.634375,-1210.1687499999998
-3478.634375,-1120.1687499999998
-3476.634375,-1100.1687499999998
-3453.634375,-980.1687499999998
-3453.634375,-980.1687499999998
-3401.634375,-773.1687499999998
-3372.634375,-639.1687499999998
-3363.634375,-563.1687499999998
-3363.634375,-429.1687499999998
-3378.634375,-285.1687499999998
-3409.634375,-129.16874999999982
-3423.634375,-81.16874999999982
-3478.634375,58.83125000000018
-3633.634375,302.8312500000002
-3701.634375,385.8312500000002
-3814.634375,505.8312500000002
-3814.634375,505.8312500000002
-3954.634375,634.8312500000002
-4175.634375,822.8312500000002
-4252.634375,890.8312500000002
-4419.634375,1042.8312500000002
-4519.634375,1136.8312500000002
-4619.634375,1232.8312500000002
-4810.634375,1420.8312500000002
-4910.634375,1522.8312500000002
-5021.634375,1637.8312500000002
-5275.634375,1912.8312500000002
-5395.634375,2047.8312500000002
-5395.634375,2047.8312500000002
-5557.634375,2235.83125
-5712.634375,2422.83125
-5827.634375,2565.83125
-5971.634375,2752.83125
-6072.634375,2887.83125
-6258.634375,3145.83125
-6388.634375,3332.83125
-6459.634375,3438.83125
-6503.634375,3503.83125
-6635.634375,3702.83125
-6713.634375,3821.83125
-6713.634375,3821.83125
-6772.634375,3909.83125
-6842.634375,4018.83125
-6883.634375,4085.83125
-6922.634375,4152.83125
-6948.634375,4200.83125
-6985.634375,4285.83125
-7004.634375,4348.83125
-7016.634375,4409.83125
-7021.634375,4515.83125
-7009.634375,4595.83125
-7009.634375,4595.83125
-6980.634375,4672.83125
-6966.634375,4696.83125
-6929.634375,4739.83125
-6853.634375,4790.83125
-6777.634375,4815.83125
-6739.634375,4823.83125
-6625.634375,4841.83125
-6416.634375,4868.83125
-6313.634375,4876.83125
-6235.634375,4885.83125
-6111.634375,4908.83125
-6111.634375,4908.83125
-6015.634375,4938.83125
-5900.634375,4993.83125
-5892.634375,4998.83125
-5813.634375,5057.83125
-5692.634375,5210.83125
-5659.634375,5285.83125
-5635.634375,5374.83125
-5622.634375,5600.83125
-5638.634375,5760.83125
-5655.634375,5881.83125
-5668.634375,5971.83125
-5668.634375,5971.83125
-5696.634375,6146.83125
-5726.634375,6327.83125
-5744.634375,6465.83125
-5753.634375,6562.83125
-5758.634375,6677.83125
-5748.634375,6888.83125
-5722.634375,7048.83125
-5685.634375,7178.83125
-5610.634375,7339.83125
-5469.634375,7529.83125
-5388.634375,7609.83125
-5388.634375,7609.83125
-5335.634375,7656.83125
-5203.634375,7764.83125
-5012.634375,7909.83125
-4783.634375,8069.83125
-4421.634375,8286.83125
-4142.634375,8423.83125
-3950.634375,8507.83125
-3648.634375,8639.83125
-3594.634375,8663.83125
-3385.634375,8754.83125
-3125.634375,8871.83125
-3125.634375,8871.83125
-3006.634375,8927.83125
-2823.634375,9017.83125
-2565.634375,9164.83125
-2404.634375,9266.83125
-2233.634375,9346.83125
-2048.634375,9359.83125
-1942.634375,9335.83125
-1775.634375,9250.83125
-1661.634375,9165.83125
-1559.634375,9089.83125
-1559.634375,9089.83125
-1362.634375,8983.83125
-1156.634375,8917.83125
-994.634375,8879.83125
-884.634375,8856.83125
-601.634375,8803.83125
-341.634375,8742.83125
-225.634375,8707.83125
-168.634375,8688.83125
2.3656249999999943,8622.83125
288.365625,8468.83125
485.365625,8310.83125
485.365625,8310.83125
496.365625,8299.83125
762.365625,7991.83125
852.365625,7858.83125
925.365625,7733.83125
1011.365625,7560.83125
1112.365625,7302.83125
1192.365625,7033.83125
1237.365625,6839.83125
1265.365625,6707.83125
1304.365625,6508.83125
1336.365625,6306.83125
1336.365625,6306.83125
1353.365625,6118.83125
1356.365625,5909.83125
1348.365625,5716.83125
1319.365625,5333.83125
1265.365625,4918.83125
1134.365625,4524.83125
1062.365625,4320.83125
1016.365625,4184.83125
921.365625,3893.83125
779.365625,3501.83125
712.365625,3352.83125
712.365625,3352.83125
574.365625,3039.83125
493.365625,2744.83125
460.365625,2528.83125
447.365625,2311.83125
454.365625,2049.83125
485.365625,1699.8312500000002
519.365625,1451.8312500000002
550.365625,1295.8312500000002
584.365625,1157.8312500000002
681.365625,853.8312500000002
706.365625,787.8312500000002
706.365625,787.8312500000002
833.365625,493.8312500000002
1025.365625,122.83125000000018
1151.365625,-81.16874999999982
1272.365625,-247.16874999999982
1416.365625,-419.1687499999998
1589.365625,-604.1687499999998
1644.365625,-666.1687499999998
1883.365625,-883.1687499999998
1977.365625,-968.1687499999998
2094.365625,-1071.1687499999998
2200.365625,-1162.1687499999998
2200.365625,-1162.1687499999998
2474.365625,-1381.1687499999998
2691.365625,-1537.1687499999998
2848.365625,-1628.1687499999998
2983.365625,-1678.1687499999998
3239.365625,-1693.1687499999998
3436.365625,-1669.1687499999998
3648.365625,-1640.1687499999998
3768.365625,-1628.1687499999998
3981.365625,-1620.1687499999998
4086.365625,-1625.1687499999998
4086.365625,-1625.1687499999998
4338.365625,-1687.1687499999998
4484.365625,-1771.1687499999998
4631.365625,-1885.1687499999998
4739.365625,-1977.1687499999998
4824.365625,-2051.16875
4943.365625,-2154.16875
5054.365625,-2246.16875
5167.365625,-2340.16875
5352.365625,-2493.16875
5513.365625,-2631.16875
5738.365625,-2822.16875
5738.365625,-2822.16875
6010.365625,-3063.16875
6243.365625,-3307.16875
6365.365625,-3460.16875
6521.365625,-3690.16875
6674.365625,-3962.16875
6786.365625,-4201.16875
6811.365625,-4263.16875
6942.365625,-4608.16875
6997.365625,-4765.16875
7063.365625,-4954.16875
7111.365625,-5096.16875
7111.365625,-5096.16875
7179.365625,-5302.16875
7286.365625,-5635.16875
7326.365625,-5762.16875
7433.365625,-6090.16875
7521.365625,-6367.16875
7588.365625,-6616.16875
7620.365625,-6776.16875
7662.365625,-6997.16875
7687.365625,-7156.16875
7691.365625,-7238.16875
7676.365625,-7348.16875
7676.365625,-7348.16875
7650.365625,-7414.16875
7636.365625,-7435.16875
7595.365625,-7477.16875
7491.365625,-7532.16875
7373.365625,-7572.16875
7234.365625,-7613.16875
7123.365625,-7644.16875
7001.365625,-7677.16875
6892.365625,-7706.16875
6784.365625,-7733.16875
6604.365625,-7775.16875
6604.365625,-7775.16875
6471.365625,-7806.16875
6347.365625,-7838.16875
6112.365625,-7900.16875
5842.365625,-7970.16875
5716.365625,-8007.16875
5448.365625,-8053.16875
5172.365625,-8019.16875
4988.365625,-7919.16875
4856.365625,-7802.16875
4713.365625,-7626.16875
4713.365625,-7626.16875
4643.365625,-7521.16875
4503.365625,-7264.16875
4429.365625,-7114.16875
4356.365625,-6962.16875
4308.365625,-6860.16875
4215.365625,-6658.16875
4173.365625,-6571.16875
4126.365625,-6488.16875
4053.365625,-6375.16875
4000.365625,-6294.16875
3954.365625,-6236.16875
3954.365625,-6236.16875
3892.365625,-6176.16875
3849.365625,-6148.16875
3803.365625,-6130.16875
3748.365625,-6121.16875
3683.365625,-6126.16875
3632.365625,-6140.16875
3557.365625,-6179.16875
3494.365625,-6232.16875
3454.365625,-6274.16875
3434.365625,-6298.16875
3378.365625,-6377.16875
3378.365625,-6377.16875
3350.365625,-6423.16875
3305.365625,-6501.16875
3249.365625,-6593.16875
3197.365625,-6664.16875
2932.365625,-6869.16875
2862.365625,-6902.16875
2693.365625,-6949.16875
2593.365625,-6954.16875
2510.365625,-6947.16875
2415.365625,-6928.16875
2174.365625,-6838.16875
2174.365625,-6838.16875
2005.365625,-6729.16875
1893.365625,-6633.16875
1783.365625,-6531.16875
1682.365625,-6434.16875
1520.365625,-6277.16875
1364.365625,-6124.16875
1212.365625,-5975.16875
1035.365625,-5801.16875
907.365625,-5676.16875
896.365625,-5665.16875
678.365625,-5452.16875
678.365625,-5452.16875
535.365625,-5312.16875
341.365625,-5121.16875
271.365625,-5054.16875
98.365625,-4883.16875
-157.634375,-4633.16875
-310.634375,-4486.16875
-597.634375,-4213.16875
-745.634375,-4073.16875
-865.634375,-3959.16875
-901.634375,-3925.16875
-1044.634375,-3788.16875
