X,Y
1807.86875,-2490.628125
1586.86875,-2539.628125
1586.86875,-2539.628125
1284.86875,-2605.628125
991.8687500000001,-2669.628125
844.8687500000001,-2701.628125
776.8687500000001,-2716.628125
532.8687500000001,-2769.628125
307.8687500000001,-2818.628125
-83.13124999999991,-2903.628125
-317.1312499999999,-2955.628125
-474.1312499999999,-2989.628125
-630.1312499999999,-3023.628125
-874.1312499999999,-3076.628125
-952.1312499999999,-3093.628125
-1187.13125,-3144.628125
-1392.13125,-3189.628125
-1646.13125,-3244.628125
-2105.13125,-3344.628125
-2262.13125,-3379.628125
-2506.13125,-3432.628125
-2701.13125,-3474.628125
-2858.13125,-3509.628125
-3082.13125,-3557.628125
-3289.13125,-3592.628125
-3489.13125,-3583.628125
-3548.13125,-3573.628125
-3782.13125,-3488.628125
-3901.13125,-3414.628125
-4050.13125,-3282.628125
-4168.13125,-3121.628125
-4229.13125,-2995.628125
-4259.13125,-2900.628125
-4278.13125,-2802.628125
-4286.13125,-2712.628125
-4285.13125,-2632.628125
-4260.13125,-2464.628125
-4234.13125,-2378.628125
-4220.13125,-2341.628125
-4168.13125,-2244.628125
-4083.13125,-2147.628125
-3978.13125,-2071.628125
-3923.13125,-2047.628125
-3828.13125,-2016.628125
-3769.13125,-2006.628125
-3609.13125,-2006.628125
-3387.13125,-2111.628125
-3338.13125,-2174.628125
-3305.13125,-2257.628125
-3298.13125,-2306.628125
-3301.13125,-2376.628125
-3312.13125,-2424.628125
-3331.13125,-2481.628125
-3342.13125,-2509.628125
-3391.13125,-2607.628125
-3433.13125,-2740.628125
-3433.13125,-2779.628125
-3425.13125,-2839.628125
-3401.13125,-2904.628125
-3371.13125,-2956.628125
-3338.13125,-2993.628125
-3316.13125,-3013.628125
-3275.13125,-3041.628125
-3220.13125,-3066.628125
-3082.13125,-3081.628125
-2867.13125,-2951.628125
-2728.13125,-2721.628125
-2657.13125,-2513.628125
-2640.13125,-2374.628125
-2651.13125,-2225.628125
-2661.13125,-2176.628125
-2739.13125,-1992.628125
-2881.13125,-1812.628125
-2952.13125,-1728.628125
-3076.13125,-1584.628125
-3432.13125,-1164.628125
-3523.13125,-1058.628125
-3698.13125,-854.628125
-3789.13125,-747.628125
-3977.13125,-527.628125
-4198.13125,-268.62812499999995
-4392.13125,-39.628124999999955
-4438.13125,13.371875000000045
-4624.13125,260.37187500000005
-4656.13125,322.37187500000005
-4744.13125,566.371875
-4822.13125,804.371875
-4913.13125,1079.371875
-4938.13125,1155.371875
-5092.13125,1621.371875
-5157.13125,1820.371875
-5201.13125,1953.371875
-5236.13125,2057.371875
-5254.13125,2114.371875
-5279.13125,2190.371875
-5286.13125,2209.371875
-5327.13125,2333.371875
-5357.13125,2428.371875
-5348.13125,2536.371875
-5329.13125,2571.371875
-5272.13125,2627.371875
-5272.13125,2627.371875
-5236.13125,2644.371875
-5168.13125,2655.371875
-5100.13125,2639.371875
-5014.13125,2589.371875
-4963.13125,2557.371875
-4700.13125,2358.371875
-4480.13125,2140.371875
-4290.13125,1895.371875
-4263.13125,1853.371875
-4205.13125,1759.371875
-4092.13125,1559.371875
-3999.13125,1393.371875
-3936.13125,1280.371875
-3907.13125,1227.371875
-3780.13125,1000.371875
-3717.13125,887.371875
-3649.13125,764.371875
-3581.13125,642.371875
-3483.13125,468.37187500000005
-3356.13125,241.37187500000005
-3183.13125,-3.6281249999999545
-2974.13125,-188.62812499999995
-2663.13125,-347.62812499999995
-2460.13125,-398.62812499999995
-2361.13125,-411.62812499999995
-2082.13125,-404.62812499999995
-1773.13125,-321.62812499999995
-1604.13125,-235.62812499999995
