X,Y
5448.53125,313.83124999999995
5516.53125,233.83124999999995
5715.53125,1.8312499999999545
5798.53125,-95.16875000000005
5967.53125,-292.16875000000005
6127.53125,-480.16875000000005
6213.53125,-581.16875
6389.53125,-786.16875
6534.53125,-955.16875
6646.53125,-1086.16875
6759.53125,-1218.16875
6941.53125,-1431.16875
7240.53125,-1780.16875
7413.53125,-1983.16875
7641.53125,-2252.16875
7745.53125,-2374.16875
7837.53125,-2483.16875
8022.53125,-2700.16875
8194.53125,-2904.16875
8355.53125,-3093.16875
8413.53125,-3160.16875
8699.53125,-3495.16875
8783.53125,-3594.16875
8880.53125,-3708.16875
9130.53125,-4004.16875
9308.53125,-4217.16875
9458.53125,-4404.16875
9529.53125,-4502.16875
9650.53125,-4767.16875
9685.53125,-4974.16875
9682.53125,-5132.16875
9632.53125,-5377.16875
9560.53125,-5615.16875
9465.53125,-5792.16875
9363.53125,-5893.16875
9276.53125,-5947.16875
9135.53125,-5998.16875
8904.53125,-6016.16875
8829.53125,-6007.16875
8738.53125,-5983.16875
8529.53125,-5865.16875
8485.53125,-5824.16875
8411.53125,-5737.16875
8306.53125,-5584.16875
8253.53125,-5498.16875
8160.53125,-5340.16875
8025.53125,-5099.16875
7951.53125,-4970.16875
7660.53125,-4549.16875
7600.53125,-4481.16875
7478.53125,-4365.16875
7339.53125,-4268.16875
7211.53125,-4208.16875
7136.53125,-4185.16875
6888.53125,-4148.16875
6598.53125,-4122.16875
6412.53125,-4063.16875
6230.53125,-3944.16875
6099.53125,-3804.16875
6044.53125,-3711.16875
5976.53125,-3525.16875
5929.53125,-3356.16875
5895.53125,-3238.16875
5861.53125,-3119.16875
5791.53125,-2905.16875
5746.53125,-2821.16875
5688.53125,-2743.16875
5594.53125,-2647.16875
5429.53125,-2530.16875
5345.53125,-2489.16875
5187.53125,-2441.16875
4923.53125,-2414.16875
4718.53125,-2402.16875
4609.53125,-2391.16875
4480.53125,-2368.16875
4337.53125,-2321.16875
4236.53125,-2270.16875
4115.53125,-2189.16875
4008.53125,-2095.16875
3930.53125,-2008.16875
3839.53125,-1872.16875
3797.53125,-1780.16875
3764.53125,-1654.16875
3778.53125,-1407.16875
3809.53125,-1312.16875
3848.53125,-1216.16875
3884.53125,-1130.16875
3934.53125,-1005.16875
3993.53125,-858.16875
4055.53125,-695.16875
4093.53125,-564.16875
4105.53125,-467.16875000000005
4089.53125,-296.16875000000005
4025.53125,-130.16875000000005
3838.53125,110.83124999999995
3528.53125,294.83124999999995
3391.53125,357.83124999999995
3242.53125,423.83124999999995
3139.53125,463.83124999999995
2953.53125,517.83125
2707.53125,564.83125
2472.53125,589.83125
2214.53125,588.83125
1912.53125,557.83125
1658.53125,480.83124999999995
1428.53125,381.83124999999995
1330.53125,331.83124999999995
852.53125,-16.168750000000045
698.53125,-197.16875000000005
548.53125,-400.16875000000005
441.53125,-543.16875
365.53125,-643.16875
186.53125,-878.16875
47.53125,-1044.16875
-59.46875,-1173.16875
-146.46875,-1274.16875
-276.46875,-1382.16875
-448.46875,-1441.16875
-677.46875,-1480.16875
-1019.46875,-1537.16875
-1210.46875,-1565.16875
-1339.46875,-1579.16875
-1446.46875,-1582.16875
-1602.46875,-1573.16875
